csv_short,model,n_features,Train_R2,KFold_R2,LOO_R2,LOO_MAE,LOO_RMSE,best_params
#1_w10_radius_mean_max_mass_max_Z,ElasticNet,5,0.09110733761814316,0.013676206443778538,-0.003935408824322639,0.7339984537896228,0.9582877187038389,"{'alpha': 0.1, 'l1_ratio': 0.2}"
#1_w10_radius_mean_max_mass_max_Z,LinearReg,5,0.12005289548035669,0.0012999420574802967,-0.006179441102604821,0.7399583804350187,0.9593581203532979,{}
#2_w10_radius_mean_max_mass_max_Z4,LinearReg,5,0.1212223626235126,0.02213204573703842,-0.007293302730723816,0.7409271703368508,0.959888988198219,{}
#3_w10_radius_mean_max_Z4_max_Z,LinearReg,5,0.11937765660885258,0.019463835373373595,-0.010561426469111401,0.7423113420315819,0.9614448883525268,{}
#2_w10_radius_mean_max_mass_max_Z4,ElasticNet,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#1_w10_radius_mean_max_mass_max_Z,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#2_w10_radius_mean_max_mass_max_Z4,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#3_w10_radius_mean_max_Z4_max_Z,ElasticNet,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#3_w10_radius_mean_max_Z4_max_Z,Lasso,5,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
#5_w10_radius_mean_radius_diff,ElasticNet,4,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,"{'alpha': 1.0, 'l1_ratio': 0.5}"
#5_w10_radius_mean_radius_diff,Lasso,4,0.0,-0.024379082335554303,-0.020512286547271774,0.7486944959802101,0.9661669007000446,{'alpha': 1.0}
