Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
MoSTe,2ea941c8bc3c,P3m1 (156),0.223,0.196,C,K,0.085,0.316
CdI2,66c5fba8ad87,P-6m2 (187),0.156,1.527,V,K,0.07,0.559
CdI2,66c5fba8ad87,P-6m2 (187),0.156,1.527,C,K,0.289,0.377
BrITi,233dbbf8f473,P3m1 (156),0.057,0.68,V,K,0.07,0.0
BrITi,233dbbf8f473,P3m1 (156),0.057,0.68,C,K,0.019,0.078
CrTe2,c31911a1b3f9,P-6m2 (187),0.108,0.468,V,K,0.108,0.0
CrTe2,c31911a1b3f9,P-6m2 (187),0.108,0.468,C,K,0.02,0.0
Bi2O2,53ac438f321b,P-6m2 (187),0.319,0.449,V,K,0.155,0.623
Bi2O2,53ac438f321b,P-6m2 (187),0.319,0.449,C,K,1.314,0.0
TiI2,088e8488f895,P-6m2 (187),0.052,0.602,V,K,0.08,0.0
TiI2,088e8488f895,P-6m2 (187),0.052,0.602,C,K,0.018,0.024
ISbTe,0f02957b17cf,P3m1 (156),0.0,0.886,V,K,0.07,0.553
ISbTe,0f02957b17cf,P3m1 (156),0.0,0.886,C,K,0.155,1.49
AsISe,ca926a42865b,P3m1 (156),0.174,0.519,V,K,0.132,1.19
AsISe,ca926a42865b,P3m1 (156),0.174,0.519,C,K,0.069,0.135
SeTeW,6e2a4c6f4f57,P3m1 (156),0.042,1.058,V,K,0.46,0.0
SeTeW,6e2a4c6f4f57,P3m1 (156),0.042,1.058,C,K,0.042,0.0
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,V,H,0.003,0.002
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,V,H1,0.003,0.002
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,C,H,0.003,0.094
I2Tl2,c0f52097ab62,P1 (1),0.076,2.657,C,H1,0.003,0.094
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,V,K,0.115,0.55
SeSn,d59c96fdfda1,P3m1 (156),0.098,2.156,C,K,0.079,0.143
GeO2,77905aa4e75f,P-6m2 (187),0.639,1.392,V,K,0.002,0.0
GeO2,77905aa4e75f,P-6m2 (187),0.639,1.392,C,K,0.019,3.356
BrClTi,d3f135b9cf41,P3m1 (156),0.015,0.826,V,K,0.045,0.0
BrClTi,d3f135b9cf41,P3m1 (156),0.015,0.826,C,K,0.011,0.216
In2Te2,fcd97ff5abcd,P-6m2 (187),0.0,1.249,V,K,0.005,1.203
In2Te2,fcd97ff5abcd,P-6m2 (187),0.0,1.249,C,K,0.143,0.793
HfI2,05a69240794c,P-6m2 (187),0.114,0.616,V,K,0.22,0.0
HfI2,05a69240794c,P-6m2 (187),0.114,0.616,C,K,0.105,0.671
CrS2,c5ee5e35d2b4,P-6m2 (187),0.0,0.899,V,K,0.068,0.0
CrS2,c5ee5e35d2b4,P-6m2 (187),0.0,0.899,C,K,0.004,0.0
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,V,K,0.099,0.236
BiBrS,49b7be14f786,P3m1 (156),0.0,1.227,C,K,0.078,1.825
CrSeTe,5d9d3ded04de,P3m1 (156),0.111,0.59,V,K,0.1,0.0
CrSeTe,5d9d3ded04de,P3m1 (156),0.111,0.59,C,K,0.019,0.0
AsClTe,fba4cc0df459,P3m1 (156),0.194,1.316,V,K,0.065,0.71
AsClTe,fba4cc0df459,P3m1 (156),0.194,1.316,C,K,0.051,0.0
MoSeTe,42eb12e7b656,P3m1 (156),0.025,1.159,V,K,0.2,0.0
MoSeTe,42eb12e7b656,P3m1 (156),0.025,1.159,C,K,0.03,0.0
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,V,K,0.105,0.628
ClSbTe,04fdd7d1ec5c,P3m1 (156),0.153,1.439,C,K,0.053,0.0
SSn,f98da23471a1,P3m1 (156),0.118,2.3,V,K,0.024,0.36
SSn,f98da23471a1,P3m1 (156),0.118,2.3,C,K,0.141,0.115
C2O2Zr3,23672dbca7d0,P-6m2 (187),0.211,0.381,V,K,0.009,1.323
C2O2Zr3,23672dbca7d0,P-6m2 (187),0.211,0.381,C,K,0.064,1.687
InN,8cf70870bc5b,P-6m2 (187),0.482,0.606,V,K,0.016,0.0
InN,8cf70870bc5b,P-6m2 (187),0.482,0.606,C,K,0.008,3.813
In2S2,172ef584c4a6,P-6m2 (187),0.0,1.684,V,K,0.02,0.885
In2S2,172ef584c4a6,P-6m2 (187),0.0,1.684,C,K,0.075,1.023
BrSbSe,c2a344b393f0,P3m1 (156),0.124,1.467,V,K,0.155,0.493
