Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE,anticrossing
ZrHf3Te8,3663f526cdf1,P1 (1),0.127,0.165,V,Y->S,0.004,0.421,False
ZrHf3Te8,3663f526cdf1,P1 (1),0.127,0.165,V,G->S,0.018,0.165,False
ZrHf3Te8,3663f526cdf1,P1 (1),0.127,0.165,C,S->X,0.002,0.254,False
BrIZr,28c61999c692,P3m1 (156),0.038,0.782,C,M->G,0.006,0.088,False
BrIZr,28c61999c692,P3m1 (156),0.038,0.782,C,M->K,0.022,1.038,False
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,V,M->G,0.093,0.035,False
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,C,M->K,0.222,1.824,False
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,C,G->K,0.227,1.799,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,V,G->M,0.127,0.034,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,V,G->K,0.168,0.0,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,C,M->K,0.19,1.442,False
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,C,G->K,0.125,1.373,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,V,G->M,0.247,0.0,False
PbI2,14411dde597c,P-4m2 (115),0.145,1.531,V,G->X,0.092,0.338,False
ZrS2,2e44a755e594,P-4m2 (115),0.31,1.938,V,G->M,0.022,0.637,False
ZrS2,2e44a755e594,P-4m2 (115),0.31,1.938,C,M->G,0.042,0.0,False
ZrS2,2e44a755e594,P-4m2 (115),0.31,1.938,C,M->X,0.035,0.086,False
ZnI2,ce0e9cd74bb3,P-4m2 (115),0.0,2.467,V,X->M,0.022,2.467,False
PbO2,8d2de90b58b6,P-4m2 (115),0.339,1.084,V,G->X,0.004,0.053,False
PbO2,8d2de90b58b6,P-4m2 (115),0.339,1.084,C,X->G,0.002,0.0,False
STeZr,3f3c7bc0ce7d,P3m1 (156),0.122,0.218,C,M->G,0.01,0.0,False
Se2Zr2,f89b20d72c95,P-6m2 (187),0.436,0.06,C,G->K,0.037,0.0,False
Hf2Zr2S8,540829ada792,P1 (1),0.2,1.145,V,S->Y,0.018,0.0,False
Hf2Zr2S8,540829ada792,P1 (1),0.2,1.145,V,Y->S,0.018,0.0,False
Hf2Zr2S8,540829ada792,P1 (1),0.2,1.145,C,X->S,0.012,0.132,False
HfZr3S8,78bb1ac31c01,P1 (1),0.193,1.145,V,G->X,0.002,0.0,False
HfZr3S8,78bb1ac31c01,P1 (1),0.193,1.145,V,S->Y,0.017,0.02,False
HfZr3S8,78bb1ac31c01,P1 (1),0.193,1.145,V,Y->S,0.017,0.02,False
HfZr3S8,78bb1ac31c01,P1 (1),0.193,1.145,V,Y->G,0.005,0.07,False
HfZr3S8,78bb1ac31c01,P1 (1),0.193,1.145,C,X->S,0.016,0.111,False
Cr2W2Te8,62bb754c4cb2,Pm (6),0.082,0.512,V,S->G,0.136,0.16,False
Cr2W2Te8,62bb754c4cb2,Pm (6),0.082,0.512,C,G->X,0.008,0.0,False
Mo2W2Se8,a1d716aad84d,P1 (1),0.0,1.288,V,S->G,0.224,0.262,False
Mo2W2Se8,a1d716aad84d,P1 (1),0.0,1.288,C,X->G,0.011,0.0,True
BrClZr,8cb69386d06b,P3m1 (156),0.01,0.912,C,M->K,0.018,1.368,False
HfSSe,9afb20358166,P3m1 (156),0.193,0.91,C,M->G,0.008,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,V,G->Y,0.072,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,V,G->X,0.073,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,C,Y->H,0.004,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,C,C->H,0.004,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,C,C->H1,0.004,0.0,False
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,C,X->H1,0.004,0.0,False
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,V,G->M,0.11,0.012,False
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,V,G->K,0.131,0.0,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,V,S->Y,0.02,0.008,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,V,Y->S,0.02,0.008,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,V,Y->G,0.007,0.068,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,V,G->S,0.017,0.034,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,C,X->S,0.015,0.135,False
ZrHf3S8,9cbc09153aeb,P1 (1),0.208,1.152,C,G->Y,0.007,0.0,False
ZrTi3Se8,52a5e2b280d4,P1 (1),0.131,0.571,V,S->X,0.015,0.249,False
ZrTi3Se8,52a5e2b280d4,P1 (1),0.131,0.571,C,X->G,0.033,0.161,False
Ir2O2,06ebe3806790,P-6m2 (187),0.51,0.099,C,G->K,0.11,0.373,False
Te2V2,5da53e6996e3,P-6m2 (187),0.49,0.22,C,M->K,0.054,0.0,False
HgI2,7c2657e15a6f,P-4m2 (115),0.0,1.512,V,X->M,0.019,0.0,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,G->Y,0.226,0.007,False
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,G->X,0.223,0.0,False
WCr3S8,dc4259e69783,Pmm2 (25),0.009,0.887,C,X->G,0.007,0.0,False
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,V,Y->G,0.01,0.0,False
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,V,X->G,0.01,0.0,False
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,C,G->Y,0.002,0.663,False
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,C,G->X,0.002,0.667,False
Cr2Mo2Te8,988b11badabb,P1 (1),0.067,0.575,V,S->G,0.095,0.123,False
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,C,M->G,0.069,0.34,False
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,C,M->K,0.055,0.394,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,G->Y,0.241,0.004,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,Y->G,0.241,0.004,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,X->G,0.239,0.0,False
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,G->X,0.239,0.0,False
HgTe,1a3bdd1b142a,P3m1 (156),0.165,0.132,C,G->M,0.13,1.627,False
BiBrTe,304bc6a92d82,P3m1 (156),0.0,0.878,V,G->K,0.001,0.065,False
ZrO2,24a8929c68ce,P-6m2 (187),0.766,1.683,C,M->K,0.065,0.026,False
AsIS,e23390b66883,P3m1 (156),0.256,0.295,C,M->K,0.016,0.65,False
Hf2Zr2Te8,93099006c996,P1 (1),0.121,0.189,V,Y->S,0.012,0.375,False
Hf2Zr2Te8,93099006c996,P1 (1),0.121,0.189,V,G->S,0.02,0.189,False
W2I6,37deba64dc68,P-62m (189),0.19,0.205,V,G->M,0.018,0.0,False
W2I6,37deba64dc68,P-62m (189),0.19,0.205,V,M->G,0.018,0.0,False
W2I6,37deba64dc68,P-62m (189),0.19,0.205,C,M->G,0.085,0.258,False
GeF2,943ceb2df00b,P-4m2 (115),0.215,1.623,V,G->X,0.001,1.956,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,V,Y->S,0.008,0.423,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,V,S->G,0.21,0.192,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,C,G->X,0.014,0.0,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,C,X->G,0.014,0.0,False
WMo3Te8,323fb700d903,P1 (1),0.005,0.923,C,G->S,0.03,0.222,False
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,V,G->K,0.135,0.079,True
WCr3Se8,c798e725e2fb,P1 (1),0.009,0.698,V,Y->S,0.046,0.499,False
WCr3Se8,c798e725e2fb,P1 (1),0.009,0.698,V,S->G,0.117,0.173,False
AsBiCr,b299416bff28,P3m1 (156),0.461,0.037,C,M->G,0.039,0.0,False
BaBr2,df54a81e64da,P-4m2 (115),0.244,4.568,C,X->M,0.03,0.719,False
Ga2Se2,394e5709a3ac,P-6m2 (187),0.0,1.736,C,M->K,0.063,1.04,False
MoW3Se8,24d6cc0a0fed,Pm (6),0.0,1.276,V,S->G,0.245,0.293,False
MoW3Se8,24d6cc0a0fed,Pm (6),0.0,1.276,C,X->G,0.018,0.0,False
GaN,c973e283b023,P-6m2 (187),0.416,1.818,V,G->K,0.019,1.549,False
Cr2Mo2S8,72b286460831,Pma2 (28),0.017,1.039,C,S->G,0.024,0.305,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,V,S->X,0.005,0.367,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,V,S->Y,0.029,0.228,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,V,Y->S,0.009,0.33,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,V,G->S,0.019,0.242,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,C,X->G,0.037,0.02,False
HfZr3Te8,916e19eae465,P1 (1),0.115,0.242,C,S->X,0.002,0.2,False
ISSb,4c49d27e66e5,P3m1 (156),0.185,0.872,C,M->K,0.057,0.469,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,V,G->M,0.309,0.0,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,V,G->X,0.139,0.532,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,C,G->M,0.008,1.342,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,C,G->X,0.036,1.45,False
GeI2,694ac91aec01,P-4m2 (115),0.153,1.059,C,M->X,0.003,1.309,False
Rh2Br6,c284d6de2b3e,P3 (143),0.408,0.26,V,K->G,0.003,0.001,False
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,V,G->M,0.006,0.045,False
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,V,M->G,0.006,0.045,False
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,V,G->K,0.01,0.0,False
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,C,M->K,0.312,1.879,False
HfO2,6e4ac7453419,P-4m2 (115),0.51,4.494,V,X->G,0.008,0.628,False
HfO2,6e4ac7453419,P-4m2 (115),0.51,4.494,C,G->M,0.184,1.209,False
HfO2,6e4ac7453419,P-4m2 (115),0.51,4.494,C,G->X,0.156,0.782,False
SnTe,e688959ea45b,P3m1 (156),0.119,1.592,C,M->G,0.025,0.0,False
HfCl2,864f8b497185,P-6m2 (187),0.007,0.891,C,M->K,0.15,1.596,False
GeCl2,3ea474649fa9,P-4m2 (115),0.143,1.381,V,G->M,0.002,0.0,False
GeCl2,3ea474649fa9,P-4m2 (115),0.143,1.381,V,G->X,0.027,1.107,False
GeCl2,3ea474649fa9,P-4m2 (115),0.143,1.381,V,X->M,0.002,0.0,False
GeCl2,3ea474649fa9,P-4m2 (115),0.143,1.381,C,G->M,0.056,1.708,False
ZnBr2,4718298eb660,P-4m2 (115),0.0,3.278,V,X->M,0.012,4.046,False
ZnBr2,4718298eb660,P-4m2 (115),0.0,3.278,C,G->M,0.099,1.754,False
ZnBr2,4718298eb660,P-4m2 (115),0.0,3.278,C,G->X,0.017,0.768,False
ZnBr2,4718298eb660,P-4m2 (115),0.0,3.278,C,X->M,0.065,1.685,False
ClIZr,73202b4b7837,P3m1 (156),0.078,0.883,C,M->K,0.013,0.92,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,V,G->M,0.032,0.0,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,V,M->G,0.032,0.0,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,V,K->M,0.032,0.0,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,V,K->G,0.031,0.005,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,V,G->K,0.031,0.005,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,C,G->M,0.013,0.29,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,C,K->G,0.008,0.279,False
P2Sc2Se6,093920d00119,P3 (143),0.0,0.68,C,G->K,0.008,0.279,False
Ti2Zr2Se8,846b50801a93,P1 (1),0.142,0.616,C,X->G,0.025,0.149,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,V,X->S,0.017,0.15,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,V,Y->S,0.025,0.016,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,V,Y->G,0.008,0.111,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,X->G,0.028,0.033,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,X->S,0.002,0.091,False
TiHf3S8,eb71cb1c9077,P1 (1),0.205,1.005,C,G->Y,0.009,0.0,False
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,C,M->G,0.043,0.0,False
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,C,M->K,0.233,0.813,True
Ir2Cl6,be7870547213,P321 (150),0.555,0.263,V,M->G,0.002,0.0,False
Ir2Cl6,be7870547213,P321 (150),0.555,0.263,C,M->G,0.001,0.071,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,S->Y,0.006,0.082,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,Y->G,0.012,0.0,False
S2Si2,0726c763a59a,Pmn2_1 (31),0.446,1.433,C,S->G,0.005,0.879,False
BaCl2,ef1fab58e11f,P-4m2 (115),0.3,5.195,C,X->M,0.031,0.724,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,G->M,0.102,1.698,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,M->G,0.102,1.698,False
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,G->K,0.071,2.315,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,V,X->G,0.088,0.171,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,V,X->M,0.015,0.171,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,C,G->M,0.344,0.876,False
SnTe2,c81de95356c1,P-4m2 (115),0.139,0.39,C,G->X,0.096,0.22,False
AsClS,0fd6ab210774,P3m1 (156),0.224,1.732,C,M->K,0.05,0.414,False
W2Br6,14e114b103e1,P-62m (189),0.271,0.222,C,M->G,0.077,0.375,False
Ir2S2,dd6289af8e01,P-6m2 (187),0.305,0.135,C,G->K,0.029,1.386,False
CaI2,793f311ee701,P-4m2 (115),0.174,4.022,C,G->M,0.012,0.388,False
MoCr3Te8,899032b4ad0c,P1 (1),0.087,0.481,V,S->G,0.097,0.137,False
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,C,M->K,0.333,0.539,False
GaP,d467820f3f04,P3m1 (156),0.447,1.555,C,M->G,0.01,1.217,False
GaP,d467820f3f04,P3m1 (156),0.447,1.555,C,M->K,0.01,0.625,False
Al2S2,f9df9f4a5c34,P-6m2 (187),0.005,2.099,V,M->K,0.012,0.649,False
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,C,G->M,0.019,0.794,False
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,C,G->K,0.065,0.959,False
ZrBr2,7897c7cc2491,P-6m2 (187),0.0,0.827,C,M->K,0.01,1.413,False
AsBrSe,989f469f06bd,P3m1 (156),0.0,1.212,C,M->G,0.005,0.982,False
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,G->M,0.01,0.007,False
HgSe,619ed885f677,P3m1 (156),0.157,0.069,V,M->G,0.048,0.899,False
