Formula,uid,kpath,band,Rashba_parameter,ehull,bandgap,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,max_Z4,max_Z,max_mass,pmid_grdf_trig_max,band_binary,radius_diff,n_elements,kpath_real_distance,E_pfrac_relevant
WMo3Te8,323fb700d903,X->G,V,1.501,0.005,0.923,0.3014358700618786,0.1389700062296471,1.3999999999999997,1.3671358938247664,180.0,29986576,74,183.84,-5.5965905455168485,0,0.0999999999999998,3,0.4424422917230035,0.3014358700618786
ISbSe,343d2125478e,G->M,C,1.17,0.13,1.078,0.8991816494298284,0.9133427007098202,1.3333333333333333,0.0069196776377032,30.000000008527763,7890481,53,126.90447,-1.7065867568448423,1,0.3,3,0.8949702655375834,0.9133427007098202
Pb2Te6,3995fa1bee6e,X->G,V,3.064,0.129,0.322,0.8986972744902609,0.8492620158711233,1.6,0.1094597910138744,-89.99999999999618,45212176,82,207.2,-0.8882105882433932,0,0.4000000000000001,2,0.6550420643429944,0.8986972744902609
PbTe,3bc08d486d65,M->G,C,2.18,0.198,1.151,0.9311785526870192,0.7994363268899549,1.6,0.0,-149.99999994206163,45212176,82,207.2,-0.9915597672752968,1,0.4000000000000001,2,0.838965133275026,0.7994363268899549
TiHf3Se8,3e1923c616ad,S->Y,V,1.256,0.166,0.722,0.7987767433307077,0.1594418578290933,1.3666666666666665,0.9230429099485018,-130.86288740334143,26873856,72,178.49,-4.231574847838632,0,0.4000000000000001,3,0.6817769519190183,0.7987767433307077
MoCr3S8,3fb52099b370,X->G,V,1.221,0.011,0.922,0.1542812240567189,0.1108407663341692,1.2833333333333332,3.857342355269868,180.0,3111696,42,95.94,-8.04317903574509,0,0.4499999999999999,3,0.5089338888504535,0.1542812240567189
BiIS,40034665f9f1,G->K,C,1.254,0.14,0.848,0.946845373751356,0.9381116900544376,1.3333333333333333,0.007500126553475,60.00000001923997,47458321,83,208.9804,-1.7375633212545818,1,0.6000000000000001,3,1.0248959993412865,0.9381116900544376
BiISe,433f707c632c,G->K,C,1.255,0.114,0.84,0.937149742562862,0.9338553284954838,1.3833333333333335,0.0059162551830455,59.9999999840954,47458321,83,208.9804,-1.694702628771762,1,0.4500000000000002,3,1.0067574988407075,0.9338553284954838
Mo2W2S8,449640ec4d30,X->G,V,1.954,0.0,1.553,0.2072633880549644,0.2146805678678273,1.2666666666666666,3.1563783751913133,180.0,29986576,74,183.84,-7.619636307954917,0,0.4499999999999999,3,0.4929269382629725,0.2072633880549644
BiBrS,49b7be14f786,G->K,C,1.293,0.0,1.227,0.8440266668986302,0.9145043455561068,1.25,0.0011259988292006,60.00000000111791,47458321,83,208.9804,-1.4945848587115471,1,0.6000000000000001,3,1.01984466959216,0.9145043455561068
ISSb,4c49d27e66e5,G->K,C,0.907,0.185,0.872,0.9067714092588202,0.9212175840416548,1.2833333333333334,0.0086849318837883,59.99999995624205,7890481,53,126.90447,-1.7393680220677954,1,0.4499999999999999,3,1.053275219043613,0.9212175840416548
Ga2P2Te6,4cb4ea247ef4,X->G,V,3.828,0.173,0.314,0.7732005190484386,0.6736048722630876,1.2333333333333334,1.026507869199079,-149.99867077296796,7311616,52,127.6,-5.899312808884923,0,0.3999999999999999,3,0.514279520367045,0.7732005190484386
BrSSb,4da5c6be60db,M->K,V,2.39,0.028,1.233,0.7806803560540508,0.8606994436980863,1.2,0.0029502106564928,120.0000000338442,6765201,51,121.76,-1.5240643400375835,0,0.4499999999999999,3,0.5251007206538862,0.7806803560540508
TiZr3Te8,4f1ab08988cc,S->Y,V,1.679,0.115,0.21,0.6849715466889554,0.1347440193725061,1.45,0.4312365072138929,-130.83623677816092,7311616,52,127.6,-2.594167070404482,0,0.1500000000000001,3,0.64100327457215,0.6849715466889554
AsClTe,4fd8ad708fb0,M->G,V,2.895,0.018,1.496,0.8748022705579596,0.850388063665775,1.1833333333333331,0.0035557579678532,-150.0000000286525,7311616,52,127.6,-1.6570281070707489,0,0.3999999999999999,3,0.9231592910645846,0.8748022705579596
ZrTi3Se8,52a5e2b280d4,S->Y,V,1.091,0.131,0.571,0.7405566209593908,0.1154653629793862,1.3666666666666665,1.604193444789698,180.0,2560000,40,91.224,-5.520923176146662,0,0.4000000000000001,3,0.442250105267947,0.7405566209593908
Cr2W2Se8,548aa830244c,X->G,V,1.39,0.015,0.778,0.1687729940064901,0.1398028194256778,1.3,2.771791624354439,180.0,29986576,74,183.84,-7.354265546555169,0,0.25,3,0.4793947859215572,0.1687729940064901
Cr2W2S8,5974b6403c31,X->G,V,1.592,0.014,0.967,0.1681267075821846,0.157123881369535,1.25,3.603055858591344,180.0,29986576,74,183.84,-7.957311854022141,0,0.3999999999999999,3,0.5015256071709622,0.1681267075821846
ISSb,5b94060698bc,M->K,V,2.844,0.041,1.276,0.8378311435722494,0.881194264676874,1.2833333333333334,0.0015724099342213,119.99999995640523,7890481,53,126.90447,-1.410241841021329,0,0.4499999999999999,3,0.5129153257993856,0.8378311435722494
MoW3Te8,5c3fe56a1a89,X->G,V,2.045,0.018,0.825,0.2850819868146655,0.1412364257262718,1.3999999999999997,1.3576580767550253,180.0,29986576,74,183.84,-5.580578624452043,0,0.0999999999999998,3,0.4424556895758597,0.2850819868146655
P2Sb2Se6,5d1a32a28ffa,X->G,V,2.546,0.058,1.004,0.8096352520917903,0.8238161694562693,1.2,1.0938007335282762,-150.05171859821505,6765201,51,121.76,-6.232078086502242,0,0.4499999999999999,3,0.51189309863108,0.8096352520917903
