group,n_feat,auc_loo,auc_5f_mean,auc_5f_sd,acc,f1,precision,recall
Full (8 feat),8,0.9719864176570459,0.9673174872665534,0.0060205851363318045,0.91,0.9262295081967213,0.9416666666666667,0.9112903225806451
Geometry only,35,0.9450339558573854,0.9324278438030561,0.0052361326252747115,0.875,0.8987854251012146,0.9024390243902439,0.8951612903225806
Z-weighted only,12,0.8892190152801358,0.8782258064516129,0.0038585121145547417,0.825,0.8627450980392157,0.8396946564885496,0.8870967741935484
Guaranteed (E_pfrac+radius),3,0.8585526315789473,0.8497241086587437,0.005775518377470647,0.81,0.8442622950819673,0.8583333333333333,0.8306451612903226
E_pfrac only,2,0.8471986417657046,0.8485144312393889,0.008662240983662896,0.795,0.831275720164609,0.8487394957983193,0.8145161290322581
Elemental only,8,0.8262945670628183,0.8044248726655349,0.01924099775946639,0.725,0.7736625514403292,0.7899159663865546,0.7580645161290323
