CSV,n,features,train_R2,KFold_R2,KFold_MAE,KFold_RMSE,LOO_R2,LOO_MAE
desc_E_w05.csv,99,2,0.8090599730432011,0.4479924051014227,0.5335445165537825,0.7105842265084631,0.39778839200773175,0.557463992374112
desc_ALL_multiwindow.csv,99,54,0.9628460237964366,0.37429665459156314,0.5209950704237427,0.7565319514405536,0.3041438295916318,0.5359393187291696
desc_ALL_w05.csv,99,18,0.959012476490528,0.33069590112235214,0.5368865861122054,0.7824467277095329,0.32586952163025973,0.5235821844495909
desc_A_w01.csv,99,2,0.003136909591366699,-0.025454424081429172,0.7516545189077203,0.9685035519657152,-0.02387715952403857,0.7542124621169735
desc_B_w01.csv,99,2,0.003136909591366699,-0.025454424081429172,0.7516545189077203,0.9685035519657152,-0.02387715952403857,0.7542124621169735
desc_E_w01.csv,99,2,0.003136909591366699,-0.025454424081429172,0.7516545189077203,0.9685035519657152,-0.02387715952403857,0.7542124621169735
desc_E_w005.csv,99,2,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_A_w005.csv,99,2,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_ALL_w005.csv,99,18,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_B_w005.csv,99,2,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_D_w005.csv,99,4,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_F_w005.csv,99,4,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_C_w005.csv,99,4,-0.0005284215901530942,-0.02552390248904457,0.7509254252597538,0.9685363612955252,-0.023300309895408322,0.7533374286035093
desc_ALL_w01.csv,99,18,0.004245953662331714,-0.025601969515038903,0.7523790115587637,0.9685732250459537,-0.023897136469270608,0.7551553172872523
desc_F_w01.csv,99,4,0.004245953662331714,-0.025601969515038903,0.7523790115587637,0.9685732250459537,-0.023897136469270608,0.7551553172872523
desc_D_w01.csv,99,4,0.004245953662331714,-0.025601969515038903,0.7523790115587637,0.9685732250459537,-0.023897136469270608,0.7551553172872523
desc_C_w01.csv,99,4,0.004245953662331714,-0.025601969515038903,0.7523790115587637,0.9685732250459537,-0.023897136469270608,0.7551553172872523
desc_D_w05.csv,99,4,0.8540544388845337,-0.04818468330076797,0.7238998355720984,0.9791786620610423,-0.03854996079809769,0.7273565615596194
desc_F_w05.csv,99,4,0.8812926899707325,-0.06821206085683063,0.752692321762894,0.9884888498886565,-0.038456596341793325,0.7157364439193646
desc_A_w05.csv,99,2,0.6870800340101048,-0.10739276808914422,0.7617585725254481,1.006453878419115,-0.08287226345452603,0.7505882461913906
desc_B_w05.csv,99,2,0.6580352329803841,-0.17154778056817133,0.8036217479946637,1.0351970818770304,-0.12041129569713127,0.7941190495153869
desc_C_w05.csv,99,4,0.8328610580571143,-0.17156415865228092,0.7392285844244137,1.0352043178113657,-0.10908553178150693,0.7322164452340867
