uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,B_WMp_VBM,B_WMp_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,12.927895065209166,13.586669543328824
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,85.22193767429206,100.15686582748421
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,83.63874360236035,99.61904421194114
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,18.78310997739283,14.492474241052422
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,15.355365489880523,13.034409721767705
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,51.82641041953735,87.99133029700047
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,107.72386966762238,108.12894664661658
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,119.0834989572903,90.11073320445401
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,77.71208840440876,136.035279464047
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,31.834846975193617,15.51015528320551
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,91.6339822850022,20.505162992197572
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,80.31624716385886,15.303600248332206
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,90.31464802289489,100.07378398975052
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,111.72923118587606,82.63777852006822
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,49.33936861315716,58.00229619401778
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,44.42173743080933,62.4073413912273
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,31.81268817536369,113.52275282420898
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,69.93816626921259,56.171994486372895
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,17.77603327413444,15.961197052255464
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,39.072340771009216,111.03518233597106
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,119.46430219386676,156.86937532745873
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,20.495175023260618,23.545946761232443
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,8.623908338459817,9.34662320703426
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,110.96693435129839,152.45366961297438
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,38.18761718051479,17.620114938974076
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,99.95906261711636,100.17031473367777
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,120.99981470306079,118.07746978225335
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,133.41803460436722,137.35785034052657
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,67.85762561878407,14.949931035003248
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,5.4528554357139365,3.7809422323253585
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,103.92671558402895,135.03062195406736
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,106.49865046104402,143.14347005190126
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,8.020443232289832,8.618726578885276
