uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,0.056270331346169176,0.11033880775169995,0.9221186560167093,0.8402152519508497
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,0.06933650307904589,0.03105111115560545,0.9057572971943492,0.9274572095042027
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,0.27813545730864114,0.9346964729231777,0.247218640984322,0.02539242375287324
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,0.1011379963404192,0.2059573719202656,0.8864311694345315,0.7631720882359809
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,0.10924166508035414,0.39371909801796434,0.8802161696286619,0.5678974358688231
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,0.3299071183185151,0.6492104597432228,0.670092881681485,0.35078954025677717
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,0.6943216011615924,0.3080000392610561,0.18809384323103942,0.6650934933376769
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,0.10523869274803598,0.058510641501903056,0.03992965149310892,0.10012179812405295
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,0.1395856609783279,0.8071242360649784,0.30443852231033847,0.06637080871048551
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,0.6212834456219696,0.23998744590382706,0.036703602918416865,0.6567578870615217
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,0.7354005475590342,0.4395972985712529,0.2645994524409658,0.560402701428747
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,0.7900189613252889,0.5401012090655657,0.20998103867471102,0.4598987909344343
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,0.10809687153865787,0.10941194558699915,0.8866104200622219,0.8818379879000893
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,0.5619366407222579,0.32583165437422135,0.09960811958535294,0.5435098304095922
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,0.18998004814904385,0.6493808319726515,0.5875182887437194,0.2728916686789469
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,0.1173116007985987,0.660230774323246,0.665071650336212,0.26768058618002927
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,0.6490456592066483,0.41251956750367025,0.13247570392506752,0.5081646146766288
