uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,0.1703321099677704,0.15351653531473347,0.46631114982247485,0.6892223381800142
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,0.8389764925311415,0.14028157886273884,0.16102350746885857,0.8597184211372612
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,0.7144530432506538,0.3494440639807067,0.20467812958460363,0.5775754098389295
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.02698973790970471,0.021120154193143625,0.05164518060202307,0.05563439349143177
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.08437286267524842,0.11560214013213609,0.9094688232157809,0.8747311716839121
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,0.15122953297039754,0.8887391613062384,0.666121409437875,0.08349354920767009
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,0.5220371851785094,0.18082447549667172,0.4175459241710705,0.17394068319609193
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,0.19156535985595646,0.372314863757764,0.7991234755403531,0.23154593416239647
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,0.115181552987811,0.8096869196313851,0.33440349350868775,0.0659976691979189
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,0.9577110108716558,0.9370775253553987,0.038192332135863795,0.05395361003926081
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,0.12153921920623391,0.2811735993240339,0.874417368817775,0.7056936534760474
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,0.9731729548066234,0.9399177941328747,0.01658606738572357,0.03437613112396219
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,0.5772620077514823,0.23460654460321462,0.14021708643412883,0.701298434547007
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,0.2307258323738918,0.2056893799674656,0.7692741676261082,0.7943106200325344
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,0.6621654790714726,0.12317164402440159,0.11267003911470935,0.8129139766681863
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,0.620239221739593,0.25749287478571276,0.03750366184001416,0.7267572937278235
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,0.6853613260899125,0.9517949520705866,0.31463867391008743,0.04820504792941343
