uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,0.7595077774468809,0.4053335810145198,0.2404922225531191,0.5946664189854802
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,0.10286446552017083,0.08360825347834301,0.021603552076445792,0.021884150751985826
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,0.3485179975851975,0.8703534551679619,0.5761032975277691,0.10093784744726933
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,0.12897088268917675,0.6737070115399315,0.5777025213916787,0.21976624913312426
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,0.7242543407773223,0.85071563959521,0.05848803564990758,0.043764624650055185
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.12825402197995892,0.18346052651725972,0.02549772238542264,0.05023822908278141
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,0.2642912271350228,0.7209659953727602,0.6441749237302214,0.2326570117086142
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.014259916610824893,0.01933510693593489,0.9585775950368293,0.936161133685047
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,0.7744619566451073,0.22979352613609533,0.020610030160019114,0.5495829672230126
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,0.14142710192956393,0.3492588179181266,0.8585728980704361,0.6507411820818734
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,0.24695175554430926,0.7521502721863116,0.7530482444556909,0.2478497278136884
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,0.16019925360607584,0.448298331287222,0.8356300363313961,0.5292986338558447
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.013380559614500414,0.02434003074708592,0.011714433084140751,0.058042332291073986
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,0.04566210973468522,0.821293783948057,0.9400266195853679,0.14182965547485404
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,0.023836904416840783,0.7620784613805044,0.8948335654508268,0.12217824708017683
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.06649433823954938,0.053295775427767346,0.04434040973012596,0.11264385668454631
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,0.12354264456254313,0.8920577726035408,0.48268161045506464,0.08026872718274242
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,0.9315748338929951,0.293592052597755,0.03249286762605722,0.6072866928188458
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,0.9729564295400074,0.9545439282845437,0.010531404680399691,0.030231477068760018
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,0.06561973005475563,0.8397106195479397,0.590365720237916,0.14711737056279034
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,0.9734339757605591,0.9328668102564212,0.02186667644517794,0.05235807680702903
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,0.6581745552160503,0.3207909509558226,0.18345028087785015,0.6416093986712623
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.014655547474233402,0.03805917334608379,0.9645804497353916,0.8662316916959725
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.05302846475518518,0.03455416412904742,0.9366602567829635,0.9314145989037605
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.05976225977735187,0.06862575473033772,0.010798989160110666,0.08751991436945764
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,0.7226410790429394,0.2702594684558557,0.034795300935026564,0.7101772686252054
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,0.051055068777781876,0.06587752506282958,0.9382222947926881,0.9190320576242419
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,0.08306992163895181,0.4615487442870758,0.9039977233371945,0.4408182058161745
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,0.6346754961491008,0.3931087936194476,0.3398011254018671,0.0679686002743083
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,0.5493196643707892,0.9591683635997278,0.4506803356292109,0.04083163640027221
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,0.029229823910353732,0.025215639846861114,0.9639809468971815,0.9442539604442464
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,0.053086536246878396,0.062124910456895006,0.9397371379350121,0.9248878269985644
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,0.055346234143868155,0.15221937478149436,0.0041373391777446865,0.02386721236421995
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,0.030294016320867305,0.015181145985601496,0.9540310732096039,0.9676439109164452
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,0.44913044796939094,0.3684366550828382,0.4563703565593188,0.2230754649436238
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,0.1400406692765779,0.11131676547813098,0.5626596005567565,0.6118541202127056
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,0.04678122458735543,0.7568911988384506,0.5437141053726449,0.14919382823534713
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,0.05518228195633425,0.2354967227125658,0.028448520359215322,0.11033816814339144
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,0.07154724609792903,0.04299723792207097,0.014452905061509431,0.08758709337605314
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,0.2448839767329314,0.14581747545318025,0.28848000874614876,0.7604305791366057
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,0.44009905388979,0.9658075820929931,0.55990094611021,0.034192417907006896
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,0.22351446903138908,0.8465633410860076,0.6761765722666572,0.12805090253385767
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,0.10343121688855172,0.37098777435585445,0.016022211200464178,0.06283791021432486
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,0.9194004999753282,0.7459039213630887,0.06899899820816528,0.19481958652841616
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,0.02518733926296715,0.08172901132778092,0.9647112124131825,0.8504160761836855
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,0.9769915929374378,0.9599248497403905,0.011597712963066121,0.00721749138590071
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,0.08670615893149974,0.08112996074762986,0.7406747455777911,0.805681762885573
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,0.010595242532486292,0.006615292754087087,0.9782791516217079,0.9745621152744033
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,0.3167918891707501,0.7371227427376444,0.6670545871326529,0.24834272247117306
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,0.9512992260726236,0.954970064750813,0.04077074102610871,0.033547010359570126
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,0.2672048326247555,0.9302573834009953,0.27332606375867086,0.029790117224433726
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,0.01970000639378653,0.04887348300148714,0.04340773819623068,0.11825254169499984
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,0.31387058398046747,0.8630374390884294,0.6861294160195326,0.13696256091157055
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,0.032739435383143924,0.10909616882898628,0.9626945347292883,0.8584423920355669
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,0.055258649192942356,0.024696970429730507,0.03652769845802398,0.03866558980137638
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,0.049501706601519056,0.059862248972250495,0.9461082274141329,0.9360823472808947
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,0.2467803006713205,0.8813125949707331,0.6715073049717993,0.09897391632667361
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,0.058528643958810404,0.6673229134811597,0.41799092546387945,0.2491515897088557
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,0.11829313600784268,0.2699951765911695,0.006456663214098384,0.02593482967427972
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,0.2000931435476961,0.6693840808201772,0.7808621722709003,0.29383215189534945
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,0.053536866107535774,0.8028530442804,0.829203741936477,0.16784572579013712
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,0.8283390419729494,0.4106766340780642,0.045590094978075195,0.5638050522975212
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,0.14370036827658836,0.5306758821517571,0.007880668860606281,0.028433354044329364
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,0.26004628208159947,0.7025864357447734,0.7218041907495297,0.2734935301962847
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,0.03018064570453095,0.05407214042375566,0.9487343044135508,0.9149102148158147
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,0.08024463752232097,0.17375218110802076,0.9000070044814573,0.7549862939357865
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,0.012961241590496487,0.02227399654434404,0.9742082044031792,0.9484767875762582
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,0.27632188122921975,0.947720043982357,0.18669758460214714,0.024323643744359087
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,0.12574700300598238,0.3032004277840713,0.8638054064880413,0.6534683959209259
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,0.12352068708885197,0.4436395843730525,0.8651496680816615,0.5237411474035389
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,0.3313445024212077,0.6486486114316874,0.6686554975787924,0.35135138856831255
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,0.6730119282291975,0.2676331355439134,0.2268588079334894,0.7172801196847105
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,0.02694769286480659,0.04832570873864688,0.01333799027792427,0.055915063141145485
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,0.1393284793900369,0.8342947265352202,0.2543605454913549,0.06771474584284409
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,0.5022005569620713,0.2543073546092068,0.03212907264172378,0.6905859369071706
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,0.7921508197157728,0.3808332216840534,0.20784918028422722,0.6191667783159465
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,0.8159344686632365,0.4521332818922362,0.18406553133676357,0.5478667181077637
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,0.03983721391383312,0.09820497826062018,0.9561647131927962,0.8952338440932878
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,0.6057285929864794,0.3166747184517503,0.12876510271241523,0.5371450426040232
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,0.22646006470961294,0.6969017025128781,0.6714667522492873,0.2571757192533188
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,0.1292504031882851,0.6123228933505039,0.64879877890562,0.29491909090357415
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,0.639455453666533,0.40082344782326707,0.20265369466329158,0.4702933009350822
