uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,0.0,0.0,0.0,0.0
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,0.0,0.0,0.0,0.0
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,0.0,0.0,0.0,0.0
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,0.0,0.0,0.0,0.0
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,0.0,0.0,0.0,0.0
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,0.0,0.0,0.0,0.0
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,0.0,0.0,0.0,0.0
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,0.0,0.0,0.0,0.0
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,0.0,0.0,0.0,0.0
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,0.0,0.0,0.0,0.0
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,0.0,0.0,0.0,0.0
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,0.0,0.0,0.0,0.0
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,0.0,21.42223300970874,0.0,78.65091167416529
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,0.0,0.0,0.0,0.0
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,0.0,0.0,0.0,0.0
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,0.0,0.0,0.0,0.0
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,0.0,0.0,0.0,0.0
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,0.0,0.0,0.0,0.0
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,0.0,0.0,0.0,0.0
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,0.0,0.0,0.0,0.0
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,0.0,0.0,0.0,0.0
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,0.0,0.0,0.0,0.0
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,0.0,0.0,0.0,0.0
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.0,0.0,0.0,0.0
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,0.0,0.0,0.0,0.0
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,0.0,0.0,0.0,0.0
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,0.0,0.0,0.0,0.0
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,0.0,0.0,0.0,0.0
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,0.0,0.0,0.0,0.0
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,0.0,0.0,0.0,0.0
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,0.0,0.0,0.0,0.0
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,0.0,0.0,0.0,0.0
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.0,0.0,0.0,0.0
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.0,0.0,0.0,0.0
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.0,0.0,0.0,0.0
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,0.0,0.0,0.0,0.0
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
