uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,0.0,0.0,0.0,0.0
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,0.0,0.0,0.0,0.0
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,0.0,0.0,0.0,0.0
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,0.0,0.0,0.0,0.0
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,0.0,0.0,0.0,0.0
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,0.0,0.0,0.0,0.0
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,0.0,0.0,0.0,0.0
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,0.0,0.0,0.0,0.0
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,0.0,0.0,0.0,0.0
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,0.0,0.0,0.0,0.0
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,0.0,0.0,0.0,0.0
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,0.0,0.0,0.0,0.0
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,0.0,0.0,0.0,0.0
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,0.0,0.0,0.0,0.0
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,0.0,0.0,0.0,0.0
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,0.0,0.0,0.0,0.0
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,0.0,0.0,0.0,0.0
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,0.0,0.0,0.0,0.0
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,0.0,0.0,0.0,0.0
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,0.0,0.0,0.0,0.0
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,0.0,0.0,0.0,0.0
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,0.0,0.0,0.0,0.0
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,0.0,0.0,0.0,0.0
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,0.0,0.0,0.0,0.0
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,0.0,0.0,0.0,0.0
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,0.0,0.0,0.0,0.0
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,0.0,0.0,0.0,0.0
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,0.0,0.0,0.0,0.0
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,0.0,0.0,0.0,0.0
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,0.0,0.0,0.0,0.0
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,0.0,0.0,0.0,0.0
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,0.0,0.0,0.0,0.0
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,0.0,0.0,0.0,0.0
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,0.0,0.0,0.0,0.0
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,0.0,0.0,0.0,0.0
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,0.0,0.0,0.0,0.0
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,0.0,0.0,0.0,0.0
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,0.0,0.0,0.0,0.0
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,0.0,0.0,0.0,0.0
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,0.0,0.0,0.0,0.0
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,0.0,0.0,0.0,0.0
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,0.0,0.0,0.0,0.0
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,0.0,0.0,0.0,0.0
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,0.0,0.0,0.0,0.0
