uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,B_WMp_VBM,B_WMp_CBM
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,124.35426467485945,161.99811356563848
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,5.553682147895049,6.003619331226084
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,72.52450837951687,109.39234265735934
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,86.54418890716765,151.61019696095983
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,80.3075894524868,75.93483058851297
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,74.93913124531693,27.429037519379847
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,130.70342723148767,151.33016852116293
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,19.872758366659657,17.530448883144057
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,59.82938856086698,10.654072337156414
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,7.984890045036595,3.9761187330098755
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,36.35646784714612,147.48655343736672
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,66.4248904021069,13.497639957545477
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,109.46654052063785,119.02049217730465
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,79.74838917625229,78.22631858074065
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,84.01801466417626,93.60764780922769
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,3.721698175866888,1.8278971519678506
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,74.8062459409472,147.59167667935645
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,80.55059630395326,102.33790348884176
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,119.24712638258086,93.69048293286312
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,106.30550853422004,65.19623068170479
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,15.469095707179932,8.888968929933451
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,97.71102427821329,104.73584358107242
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,124.98371899080516,157.13521761293396
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,53.302365312040294,79.699754276045
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,76.3800853813397,72.0111180078225
