uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,D_wm_h1_VBM,D_wm_h1_CBM,D_wm_h2_VBM,D_wm_h2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,146.08367357300907,153.10963812545018,6.036605520439628,9.040284500355988
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,70.73148295003963,32.010908300738805,52.90643933386202,88.92931877444589
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,69.446700982686,40.56906319782352,28.136849273070535,57.940809938469656
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,34.34820407229467,17.56754378659089,61.70654770075497,69.24939470396589
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,84.46875195278598,65.49665341812401,11.129234507897936,8.959888712241652
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,30.707412992258494,79.1977094212016,36.31269673510602,18.153523054681504
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,55.10869655609797,31.37549047296648,44.38565458846725,24.327554318001045
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,24.36639469537674,40.91691874614528,99.2620991013559,23.080279815138752
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,30.356736833536914,121.02277298959113,25.657090014668434,11.117143022617574
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,18.906401639982356,9.040213412742723,47.01276591327814,34.870679322538614
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,38.7420025062435,75.31006338387263,86.4210396363455,23.088888458584258
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,84.08107727067329,22.316147474182287,11.469573321283328,21.835348943572026
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,52.28615517772208,39.220898031123134,31.810038494873922,69.95358384927279
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,70.40866664553752,73.46117628374803,82.81139705882354,80.8696241397565
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,34.04993001060445,18.293515600727886,17.695560296924707,46.00839987572678
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,26.937261362079614,21.42967858827318,14.76254286398088,45.67587073920822
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,57.79630116766326,131.20449215435863,11.536532524604672,5.8681589200075015
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,54.51788595536669,32.53248527954326,22.485754359196594,42.711431981939946
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,108.45515674310961,85.50437305609326,22.294494003787076,31.56961654740413
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,19.86951123712233,98.37284889157677,22.724968779759326,13.131456972182754
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,37.89111824621329,107.48063571129416,69.00338774253156,41.73765182186234
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,14.806889505181724,21.010823816462775,73.29119544592032,73.00595411569351
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,108.61219839320098,87.82723967336236,21.12641989243742,32.86446802169637
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,48.91919006018831,112.31502185085921,79.10428810469269,44.55841084660255
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,34.62408535230051,22.392396399545575,19.011898940505297,18.082335051996857
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,79.76678052668997,24.903950593202488,12.175129603550378,57.84809567397749
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,31.467697912189283,47.77273110408791,108.22124394982936,98.18011347064855
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,41.45938947294522,128.30903523530205,102.06805937863027,48.58343196899353
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,28.89647445088468,72.16199171515338,60.8118935053199,12.082421016294532
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,11.641333489296992,2.375226262809467,39.795354111592,48.049356942051325
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,7.191440382862353,126.15301654952015,115.35350251640841,23.66050142197025
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,5.735237183389216,118.91480004601577,107.53983640392056,20.784147226397724
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,68.85909505802582,38.95702105803802,42.32794236536705,60.36286594761173
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,37.10322893351797,132.6990843066215,21.70797937132566,14.648893533128305
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,102.46514009449236,27.167383933137348,7.872930488511003,58.309452214779334
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,85.97239827666837,78.44801142966409,18.842189740716698,18.138667335311393
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,27.413125677596742,77.89597232559825,25.242366942275297,18.964892084195693
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,89.86005083783716,20.377447733996906,16.80983596653587,43.045280482787
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,47.93740089624268,40.659508874301,22.231844220185664,43.10587752005835
