uid,Formula,alpha_R,G_wm_h1_VBM,G_wm_h1_CBM,G_wm_h2_VBM,G_wm_h2_CBM
001e03f2c095,SSeW,3.288,128.14905537459276,201.00638436482066,7.0300977198696994,4.20091205211726
03bcf7dcdaf2,Sn2Te2,4.804,14.934251290877798,20.644406196213428,10.01168674698795,60.58092082616181
04fdd7d1ec5c,ClSbTe,1.018,0.8902325581395316,9.209778812572747,0.28316279069767347,10.347473806752026
05a06afa3b20,WMo3Se8,1.643,60.67990783410139,53.902396313364065,116.16698156682027,139.1019470046083
0b7696e1f4c9,CrW3Se8,1.756,2.448688524590164,4.614836065573769,0.3236065573770492,0.24270491803278682
0c0fbdaf8f4a,ClSbSe,2.682,20.293333333333333,4.387747747747748,23.38567567567567,0.9781081081081082
0f02957b17cf,ISbTe,3.658,8.551379763469113,4.197368421052627,6.670405781865961,3.339591315789471
114b3382699c,AsITe,0.579,0.9428571428571421,0.3142857142857145,4.688588793103445,0.31257258620689676
11db0908d9ef,BiBrSe,0.393,0.0,0.4778515243902448,0.06085605483625287,0.0
159f028a85d0,CrMo3Te8,0.896,36.1958013312852,26.52616487455197,131.80082949308755,164.22294930875572
1667d1443160,TiHf3Te8,1.512,200.2115857406269,1339.168672403196,92.07277197295619,3.9997541487404407
18e377cce57f,Ti2Zr2Te8,1.855,500.0475471698109,258.4501886792453,54.131977358490595,435.2933886792453
18e62ba75259,BrSbTe,2.631,5.462068965517251,0.3034482758620695,3.764280618311541,0.5791200951248525
1a3bdd1b142a,HgTe,0.618,436.041158620691,104.30679999999974,333.6960000000011,230.91199999999927
1a3be826b3e0,AsClSe,3.717,0.5132827735644623,0.6843770314192862,0.2435154929577458,1.9481239436619753
1dcd471c2288,AsBrS,3.109,6.716068965517241,14.019754574811662,3.633051724137931,31.533203013993624
20f098bd3f31,O2Pb2,1.914,568.0797047970477,157.69372693726928,106.62330774907744,3.40946623616236
211bcb7f05d6,GeSe,0.94,3.765879593432371,0.061735731039874835,0.9087099296325262,0.11358874120406556
24d6cc0a0fed,MoW3Se8,2.097,180.16320000000005,277.9781989405534,38.996788235294126,79.05591524426134
287dcf4f1a19,Bi2P2S6,1.406,119.5823125493291,1.8143523283346485,150.68272296763996,0.15184688239936855
2d41b3dd1772,BiITe,2.086,12.852628434504796,25.371422364217256,22.217891373801923,9.172523961661343
