uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,max_mass,max_Z,max_Z4,X_diff,X_mean,radius_diff,radius_mean,WM_VBM,WZ4_VBM,pZ4_VBM,Wr_VBM,WX_VBM,WM_CBM,WZ4_CBM,pZ4_CBM,Wr_CBM,WX_CBM
001e03f2c095,SSeW,3.288,0.224009385476083,0.19442028188538346,183.84,74,29986576,0.2200000000000002,2.4966666666666666,0.3500000000000001,1.1666666666666667,154.01274139554604,23451720.671656474,573968.9373260832,1.2846535999287771,2.4063528317062355,158.99504935428067,23946768.306844614,510197.24839649524,1.2987002884506245,2.401450937676236
03bcf7dcdaf2,Sn2Te2,4.804,0.6785544244677716,0.8358953535587912,127.6,52,7311616,0.14000000000000012,2.0300000000000002,0.050000000000000044,1.4249999999999998,123.66362482145692,6841546.385653072,4798730.550162106,1.4221393429614348,2.0380098397079833,120.70503722180328,6488241.106328674,5335132.3849411225,1.43877931821258,1.991417909004776
04fdd7d1ec5c,ClSbTe,1.018,0.8840911585585108,0.9201929583105101,127.6,52,7311616,1.1100000000000003,2.436666666666667,0.44999999999999996,1.2833333333333332,97.47807333865761,4929529.746683372,4165883.373464699,1.2857054720116277,2.4209037884322044,108.85198956036622,5796866.22080654,5289650.366703643,1.356274137050113,2.257103600016571
05a06afa3b20,WMo3Se8,1.643,0.22900368299032436,0.17766113078223006,183.84,74,29986576,0.3899999999999997,2.3566666666666665,0.30000000000000004,1.3166666666666667,107.55325866718361,7438871.308623251,457312.47901335976,1.3642074329428404,2.283852250998413,104.7225927244669,6442835.450204315,336644.9825346294,1.3796331248599998,2.2610277612178846
0b7696e1f4c9,CrW3Se8,1.756,0.18130424254038618,0.1534142461286447,183.84,74,29986576,0.8899999999999999,2.19,0.25,1.3,119.81943030722792,14643671.889918644,535443.5543743666,1.3295879562075485,2.15929683247306,101.56165929685558,10677476.711445078,474290.76678368496,1.3431650236662056,2.0416379846584176
0c0fbdaf8f4a,ClSbSe,2.682,0.7943110472668419,0.8322172034831463,121.76,51,6765201,1.1100000000000003,2.5866666666666664,0.44999999999999996,1.2,76.22026915401341,2319594.232683762,984960.8719496855,1.1791375562687512,2.6137460864792192,100.01995574337339,4513650.675187356,4274699.372346138,1.3159978426307306,2.316041281864143
0f02957b17cf,ISbTe,3.658,0.848391125348033,0.8724804784156919,127.6,53,7890481,0.6100000000000003,2.27,0.050000000000000044,1.4166666666666667,126.2384349629103,7456754.178007007,6423195.164660558,1.4091369834865288,2.3278687601669863,124.31628621792291,7125062.332141049,6176563.707425352,1.4269979531776622,2.1779545240966587
114b3382699c,AsITe,0.579,0.9466262309905493,0.9096856795947482,127.6,53,7890481,0.56,2.3133333333333335,0.25,1.3166666666666667,123.60198797569801,7302581.731075179,7176561.610318106,1.38330714669633,2.4922933238169733,100.78256573159332,4307963.359147895,3737167.1340312203,1.2733048042266846,2.2379915159042483
11db0908d9ef,BiBrSe,0.393,0.9198579768745667,0.9316661883508595,208.9804,83,47458321,0.94,2.5100000000000002,0.4500000000000002,1.3,93.95054861614436,6580371.219090527,2957957.507651806,1.2004735514971427,2.6673277702710685,143.91808390699256,24350040.204430472,23378540.332140572,1.374267970398002,2.355089760764316
159f028a85d0,CrMo3Te8,0.896,0.25696647107022974,0.12525950310503062,127.6,52,7311616,0.5000000000000002,1.9733333333333334,0.050000000000000044,1.4166666666666667,92.29505337172574,3427340.9582375176,1763449.4152988135,1.4244661571908124,2.0140517207200066,84.13341619554562,2655873.486043499,861352.6995978545,1.4251699623373366,1.9699907381972057
