uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,D_wm_h1_VBM,D_wm_h1_CBM,D_wm_h2_VBM,D_wm_h2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,143.0476790462967,145.6123160789883,6.482732094056846,11.306691749064022
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,71.10039676241867,28.635179921495833,52.56322805903825,92.06985730030745
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,59.77952225405849,41.91113975208171,26.60019031109126,60.850575698852474
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,32.3608662489082,25.083191411957515,57.24482836669472,64.70994942515397
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,87.56346976280484,63.14850077477945,14.717169271208718,12.52625324513434
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,30.818608543881307,74.5947716331905,34.341439384369636,21.219635710437522
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,50.27896655275519,34.787051883098826,53.70908622375941,23.783818756580075
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,30.91027922210989,40.73030922807476,87.68908764128327,22.0834293849184
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,23.439962180652234,104.15024480213916,34.45117430494004,13.491613552259041
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,31.723143155446312,16.904423298913045,46.945662417730546,48.296123732881796
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,39.38537552629774,75.86368430044139,84.47790324575305,20.108695766209603
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,80.84740466796998,17.55038676693647,12.520999247648017,24.607645963540783
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,53.66248388731111,39.840320457957475,29.528192197448686,67.56019336126992
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,53.55748792270531,79.17311738541869,93.53082676635327,77.23612454070779
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,32.4203620727825,19.864472109943407,17.232565844067484,44.85847520129345
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,28.878170269500924,18.375341953027768,15.424670656679426,44.925982915260164
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,42.32290510592801,127.85841596269,12.731344556217255,6.126533492502595
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,54.56695970328751,34.31743463636413,22.44060849991382,41.069350912037855
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,105.05171973835272,96.84778413713002,20.449735056287096,25.84408650288116
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,24.848548329581796,99.9484735928241,23.886798381136856,13.443298068482475
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,30.038293785388355,104.18587105568335,56.57969798201344,44.71434276014936
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,15.608673627623277,23.28380823119512,71.2746026051897,71.08260524856621
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,105.68923661987584,91.58843705840582,21.23161875734019,27.386465708539635
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,43.811446865782266,106.87149847677611,67.23929826547807,48.18354730443353
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,30.240658432387967,30.385819533964717,36.58094157852362,19.315184327983516
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,74.84278989852125,23.290375488777276,13.709527312019054,60.00719271806388
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,30.57548652221062,32.447847139467264,108.77069459346487,107.61763853766398
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,50.240400276929755,115.78797777137854,96.66044847810697,56.29427623731709
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,29.617627443108823,74.6362512043732,59.55477516883102,12.248977381015049
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,13.813382004963355,2.9822011986963037,36.83881361170428,44.95660838740969
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,13.922897588367807,108.96744490067992,94.28652361361296,23.979747467004835
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,15.122060773332972,102.8209381915053,81.38656911525587,22.600637392477985
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,69.16851576050095,50.582735678870435,40.701407836333544,49.812591456332065
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,38.303680778595776,127.50854384935454,23.49206301469331,13.822157507025938
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,84.51066399156173,24.43088356532092,13.049166843446715,62.99113520650184
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,96.1061100280117,84.1944238696921,13.753299330548549,12.211449764991348
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,28.694159567122053,75.78577020294581,25.56383562446425,17.816166220881104
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,86.50976988770492,19.268667823313024,18.371331955295517,44.199486765905874
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,50.405466607755365,40.678560125283795,19.594677844521417,40.62120482039698
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,4.036813856742806,10.50811616107055,56.93489493903231,9.83884445933401
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,50.48151674855705,29.672922022128784,13.626711670226767,11.633469320340245
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,51.36974836657871,22.854439995229374,29.12125640564658,37.63595935780319
