csv,combo,n_features,LOO_R2,KFold_R2,LOO_MAE
desc_E_enhanced_w10.csv,radius_mean + max_mass + max_Z,5,0.5567352925132218,0.5411338618577852,0.48862805206125437
desc_E_enhanced_w10.csv,radius_mean + max_mass + max_Z4,5,0.5567352925132218,0.5411338618577852,0.48862805206125437
desc_E_enhanced_w10.csv,radius_mean + max_Z4 + max_Z,5,0.5479303775049755,0.5357098972084766,0.49234657941683374
desc_E_enhanced_w10.csv,radius_mean + max_mass,4,0.5375343332523949,0.5181801358025118,0.4912602109475569
desc_E_enhanced_w10.csv,radius_mean + radius_diff,4,0.531969514776274,0.4884558111248144,0.4983730140214015
desc_E_enhanced_w10.csv,radius_mean + max_mass + radius_diff,5,0.5272572860776317,0.49891375763374923,0.4958836438101952
desc_E_enhanced_w10.csv,radius_mean + Wr + radius_diff,6,0.5271791232408218,0.4529557741522292,0.4900514426664873
desc_E_enhanced_w10.csv,radius_mean + max_Z4 + radius_diff,5,0.5240776865845623,0.4935311989645168,0.49745646970922297
desc_E_enhanced_w10.csv,radius_mean + max_Z + radius_diff,5,0.5240776865845623,0.4935311989645168,0.49745646970922297
desc_E_enhanced_w10.csv,radius_mean + max_Z4,4,0.5217145223621997,0.515179632684291,0.49611432101028136
desc_E_enhanced_w10.csv,radius_mean + max_Z,4,0.5217145223621997,0.515179632684291,0.49611432101028136
desc_E_enhanced_w10.csv,radius_mean + X_diff,4,0.5216373639417691,0.5133390029569991,0.49292823686503395
desc_E_enhanced_w05.csv,radius_mean + max_mass + max_Z,5,0.5018179322827159,0.517524123472316,0.5077928788011724
desc_E_enhanced_w05.csv,radius_mean + max_mass + max_Z4,5,0.5018179322827159,0.517524123472316,0.5077928788011724
desc_E_enhanced_w05_w10.csv,radius_mean + radius_diff,6,0.5000558963570969,0.48891512896246825,0.5047339540780194
desc_E_enhanced_w10.csv,radius_mean + max_mass + X_mean,5,0.4991212363676042,0.4789153132046642,0.5126046114112391
desc_E_enhanced_w10.csv,radius_mean + Wr + max_Z4,6,0.4980181760457514,0.4574216895883958,0.49873174302264894
desc_E_enhanced_w10.csv,radius_mean + Wr + max_Z,6,0.4980181760457514,0.4574216895883958,0.49873174302264894
desc_E_enhanced_w10.csv,radius_mean + Wr,5,0.4978683322691726,0.5194911357279578,0.5001798414943194
desc_E_enhanced_w10.csv,radius_mean + max_Z + X_mean,5,0.49644617907629807,0.47750234284921567,0.5106326721605629
desc_E_enhanced_w10.csv,radius_mean + max_Z4 + X_mean,5,0.49644617907629807,0.47750234284921567,0.5106326721605629
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass,6,0.49472428787276457,0.5085467769070708,0.5012173728316722
desc_E_enhanced_w05.csv,radius_mean + Wr + X_diff,6,0.49334713791063867,0.4928585629460128,0.48395386389048417
desc_E_enhanced_w05.csv,radius_mean + max_Z4 + max_Z,5,0.49290243982659354,0.5069528098364408,0.5112318824084119
desc_E_enhanced_w10.csv,radius_mean + X_mean,4,0.49256711508839657,0.448135732745334,0.5146296267702122
desc_E_enhanced_w05.csv,radius_mean + max_mass + radius_diff,5,0.49089442139276185,0.48841642900353666,0.5127556965519684
desc_E_enhanced_w10.csv,radius_mean + Wr + X_mean,6,0.49032977082681706,0.44368481520523206,0.5051011778802582
desc_E_enhanced_w05_w10.csv,radius_mean + Wr + X_diff,10,0.49014160777835647,0.47886159882260615,0.4888260534652557
desc_E_enhanced_w05.csv,radius_mean + max_Z + radius_diff,5,0.48945554753653897,0.47787366513862906,0.5138053108658454
desc_E_enhanced_w05.csv,radius_mean + max_Z4 + radius_diff,5,0.48945554753653897,0.47787366513862906,0.5138053108658454
desc_E_enhanced_w10.csv,radius_mean + max_mass + X_diff,5,0.4886280014141331,0.5446098102957866,0.5062222955636304
desc_E_enhanced_w05_w10.csv,radius_mean + Wr,9,0.48752498319444915,0.4711464512855794,0.4879143214707424
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z4,6,0.4871477667850088,0.5101947098848869,0.5047043085965244
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z,6,0.4871477667850088,0.5101947098848869,0.5047043085965244
desc_E_enhanced_w05.csv,radius_mean + radius_diff,4,0.4868388235101623,0.4890797049121939,0.5141440022545632
desc_E_enhanced_w10.csv,radius_mean + Wr + X_diff,6,0.4854523945831942,0.48172487965159005,0.5034563264798636
desc_E_enhanced_w05_w10.csv,radius_mean + Wr + max_Z4,10,0.4847126001084855,0.4818789733624905,0.49000158117756704
desc_E_enhanced_w05_w10.csv,radius_mean + Wr + max_Z,10,0.4847126001084855,0.4818789733624905,0.49000158117756704
desc_E_enhanced_w10.csv,radius_mean + max_Z + X_diff,5,0.48323540662398,0.5378467142325285,0.5056984741808188
desc_E_enhanced_w10.csv,radius_mean + max_Z4 + X_diff,5,0.48323540662398,0.5378467142325285,0.5056984741808188
desc_E_enhanced_w10.csv,radius_mean + max_mass + Wr,6,0.48219505524086914,0.46546772496675537,0.5086063895418187
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + X_diff,7,0.4812544224180627,0.5075911435734701,0.4984761566730461
desc_E_enhanced_w05_w10.csv,radius_mean + Wr + radius_diff,10,0.48094205945817536,0.5005757417916155,0.4956306313023423
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + radius_diff,7,0.48084952822512417,0.4672192811346707,0.5071119204530813
desc_E_enhanced_w05_w10.csv,radius_mean + X_diff,6,0.478978180818767,0.5109759483035914,0.5097909973606919
