uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,154.01274139554604,158.99504935428067
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,123.66362482145692,120.70503722180328
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,97.47807333865761,108.85198956036622
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,107.55325866718361,104.7225927244669
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,119.81943030722792,101.56165929685558
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,76.22026915401341,100.01995574337339
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,126.2384349629103,124.31628621792291
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,123.60198797569801,100.78256573159332
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,93.95054861614436,143.91808390699256
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,92.29505337172574,84.13341619554562
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,129.47753905242502,115.95100773906255
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,104.33684509594957,70.52919093647664
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,110.11322497028806,118.020408357902
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,147.0883146890586,156.40924192612647
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,62.39472886925788,70.02971972837508
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,58.177741350184945,68.76495509524416
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,55.05424966214527,133.9849494551926
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,77.00756820320133,75.38678554840199
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,142.51090363719686,138.78531312074531
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,52.95233155625633,116.56600387301056
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,139.01025672610828,168.0666431560744
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,91.20457613977048,96.82317421565303
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,133.45573620975708,125.91214780208361
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,132.0976539989391,163.92368276574268
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,119.4754926704501,115.26093447244257
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,112.05463514007357,108.85229523662531
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,139.34618111567548,140.06548567713125
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,146.90084875503672,172.08225400869563
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,92.99342480944989,107.31091143887278
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,55.3827052037505,51.28322016490735
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,114.3147439984661,142.23375253799117
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,119.11624581008329,151.4701567557716
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,116.2674951533325,106.98945931871296
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,78.55637643345196,148.28462199320896
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,104.8350447574946,96.72559940768829
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,111.39450132576447,101.51737279794347
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,68.5078899532752,98.55954101157256
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,110.65561877067681,80.9145100704815
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,82.17601885655887,86.22842968916646
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,72.2055369567278,56.735660566560114
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,92.85311541556766,77.24921862795917
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,85.63767579995144,65.35979824801579
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,91.77460395709403,108.18292674928892
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,151.53037016357382,151.73084363413517
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,80.63270957558288,77.2981367763247
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,103.13314394064152,89.15000890547961
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,76.83301888595977,134.5255320863921
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,68.67865261884646,62.40234196326588
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,104.30975647048695,87.61163940735224
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,71.16281349818914,63.802827072895205
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,82.05741368086576,66.35727919569194
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,94.20806967401671,91.93353614851787
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,161.61025467817916,171.81034496167868
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,117.56575470194394,158.51876742849916
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,85.81918694039848,104.26700902038199
