uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM,B_WMp_VBM,B_WMp_CBM,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM,D_wm_h1_VBM,D_wm_h1_CBM,D_wm_h2_VBM,D_wm_h2_CBM,E_pfrac_VBM,E_pfrac_CBM,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
001e03f2c095,SSeW,3.288,W,Se,183.84,78.96,3,154.01274139554604,158.99504935428067,12.927895065209166,13.586669543328824,0.22238830121046863,0.15634783025132978,0.4391094387180135,0.6938505317493202,143.0476790462967,145.6123160789883,6.482732094056846,11.306691749064022,0.224009385476083,0.19442028188538346,2.875012621779067,2.1242463034412875,5.676760745889373,9.427117887340998
03bcf7dcdaf2,Sn2Te2,4.804,Te,Sn,127.6,118.71,2,123.66362482145692,120.70503722180328,85.22193767429206,100.15686582748421,0.7866533247811673,0.13295021445592328,0.21334667521883266,0.8670497855440766,71.10039676241867,28.635179921495833,52.56322805903825,92.06985730030745,0.6785544244677716,0.8358953535587912,67.04012061577528,13.315876790997159,18.18181705851679,86.84098903648704
04fdd7d1ec5c,ClSbTe,1.018,Te,Sb,127.6,121.76,3,97.47807333865761,108.85198956036622,83.63874360236035,99.61904421194114,0.7035496736341746,0.3554700415385989,0.16531098003428105,0.5866181906273402,59.77952225405849,41.91113975208171,26.60019031109126,60.850575698852474,0.8840911585585108,0.9201929583105101,58.84401076461304,35.41158578405424,13.826402673742143,58.43834346763392
05a06afa3b20,WMo3Se8,1.643,W,Mo,183.84,95.94,3,107.55325866718361,104.7225927244669,18.78310997739283,14.492474241052422,0.043166719326293984,0.036352780832164956,0.07171887826005384,0.06385683925589428,32.3608662489082,25.083191411957515,57.24482836669472,64.70994942515397,0.22900368299032436,0.17766113078223006,0.8108052364690284,0.5268417398007749,1.347103577813839,0.9254435980310729
0b7696e1f4c9,CrW3Se8,1.756,W,Se,183.84,78.96,3,119.81943030722792,101.56165929685558,15.355365489880523,13.034409721767705,0.12311129133245104,0.13394137545443965,0.8720043084459179,0.8549365229797358,87.56346976280484,63.14850077477945,14.717169271208718,12.52625324513434,0.18130424254038618,0.1534142461286447,1.8904188743409458,1.7458467663702864,13.38994486493758,11.143592926621347
0c0fbdaf8f4a,ClSbSe,2.682,Sb,Se,121.76,78.96,3,76.22026915401341,100.01995574337339,51.82641041953735,87.99133029700047,0.1327688493841756,0.8313120716022381,0.6579369731230661,0.13689549113668184,30.818608543881307,74.5947716331905,34.341439384369636,21.219635710437522,0.7943110472668419,0.8322172034831463,6.880932879114024,73.14825507223624,34.09851159926414,12.045616376777872
0f02957b17cf,ISbTe,3.658,Te,I,127.6,126.90447,3,126.2384349629103,124.31628621792291,107.72386966762238,108.12894664661658,0.460154858654451,0.22698130495362792,0.4934962355792344,0.17621872640245145,50.27896655275519,34.787051883098826,53.70908622375941,23.783818756580075,0.848391125348033,0.8724804784156919,49.569662020615276,24.543249413110242,53.16132416299972,19.054345265305397
114b3382699c,AsITe,0.579,Te,I,127.6,126.90447,3,123.60198797569801,100.78256573159332,119.0834989572903,90.11073320445401,0.2526792101527626,0.3672706710951392,0.7326565135750237,0.2246645506148315,30.91027922210989,40.73030922807476,87.68908764128327,22.0834293849184,0.9466262309905493,0.9096856795947482,30.089924458755444,33.09502945687487,87.24730117036329,20.244687380951635
11db0908d9ef,BiBrSe,0.393,Bi,Br,208.9804,79.904,3,93.95054861614436,143.91808390699256,77.71208840440876,136.035279464047,0.09667507784802618,0.7363620012947782,0.44208873032283713,0.09199140399221695,23.439962180652234,104.15024480213916,34.45117430494004,13.491613552259041,0.9198579768745667,0.9316661883508595,7.5128221962289095,100.17121063284009,34.35563849344114,12.514076350371282
159f028a85d0,CrMo3Te8,0.896,Te,Mo,127.6,95.94,3,92.29505337172574,84.13341619554562,31.834846975193617,15.51015528320551,0.9295675285111101,0.9384658717868487,0.06444782113350596,0.052470987917505194,31.723143155446312,16.904423298913045,46.945662417730546,48.296123732881796,0.25696647107022974,0.12525950310503062,29.59264002326012,14.555751399402856,2.0516865236698116,0.8138331704637056
1667d1443160,TiHf3Te8,1.512,Hf,Te,178.49,127.6,3,129.47753905242502,115.95100773906255,91.6339822850022,20.505162992197572,0.09883587118964458,0.17342092745696214,0.8966530011926747,0.8178889381750654,39.38537552629774,75.86368430044139,84.47790324575305,20.108695766209603,0.7032942480989642,0.15507922849140787,9.056724469714652,3.55602438376308,82.16388522708361,16.77094598679512
18e377cce57f,Ti2Zr2Te8,1.855,Te,Zr,127.6,91.224,3,104.33684509594957,70.52919093647664,80.31624716385886,15.303600248332206,0.9776553447643396,0.9637231990435263,0.012163810574659123,0.0208557462140829,80.84740466796998,17.55038676693647,12.520999247648017,24.607645963540783,0.6431649598769135,0.12401235044377834,78.52160831116035,14.748434588206017,0.9769516165686822,0.3191680029409925
18e62ba75259,BrSbTe,2.631,Te,Sb,127.6,121.76,3,110.11322497028806,118.020408357902,90.31464802289489,100.07378398975052,0.5862775367938932,0.26963767393432186,0.12202743291325115,0.6528554863642942,53.66248388731111,39.840320457957475,29.528192197448686,67.56019336126992,0.83517716605127,0.8451200771706139,52.94944937927027,26.983662336802112,11.020864652697696,65.3337189189439
1a3bdd1b142a,HgTe,0.618,Hg,Te,200.59,127.6,2,147.0883146890586,156.40924192612647,111.72923118587606,82.63777852006822,0.1859563792259459,0.20022643965300618,0.8140436207740541,0.7997735603469938,53.55748792270531,79.17311738541869,93.53082676635327,77.23612454070779,0.8163718961430929,0.6004465462984125,20.77676328502415,16.54626817390693,90.95246790085191,66.09151034616129
1a3be826b3e0,AsClSe,3.717,Se,As,78.96,74.9216,3,62.39472886925788,70.02971972837508,49.33936861315716,58.00229619401778,0.6507482038328919,0.17297746879521442,0.09514397305134557,0.7591690866975092,32.4203620727825,19.864472109943407,17.232565844067484,44.85847520129345,0.8229245148495816,0.8258043654001617,32.10750550326099,10.033090379951494,4.6943435577006305,44.03355022797089
1dcd471c2288,AsBrS,3.109,Br,As,79.904,74.9216,3,58.177741350184945,68.76495509524416,44.42173743080933,62.4073413912273,0.6450196769729192,0.23987753354357214,0.04792385407284173,0.7110999174393562,28.878170269500924,18.375341953027768,15.424670656679426,44.925982915260164,0.81239137651136,0.8750866369111423,28.65289472819647,14.970119127939284,2.1288608622961975,44.37785531091145
20f098bd3f31,O2Pb2,1.914,Pb,O,207.2,15.9994,2,55.05424966214527,133.9849494551926,31.81268817536369,113.52275282420898,0.6024477396442371,0.9463614888918341,0.39755226035576297,0.05363851110816581,42.32290510592801,127.85841596269,12.731344556217255,6.126533492502595,0.8829775241595053,0.8990904811171163,19.165482083254805,107.43356138581808,12.647206092108886,6.089191438390895
211bcb7f05d6,GeSe,0.94,Se,Ge,78.96,72.64,2,77.00756820320133,75.38678554840199,69.93816626921259,56.171994486372895,0.7707785130413475,0.4444420813336111,0.2292214869586526,0.5555579186663888,54.56695970328751,34.31743463636413,22.44060849991382,41.069350912037855,0.9034063151276183,0.7457842356027244,53.906835801822204,24.9651981421837,16.03133046739039,31.206796344189193
24d6cc0a0fed,MoW3Se8,2.097,W,Mo,183.84,95.94,3,142.51090363719686,138.78531312074531,17.77603327413444,15.961197052255464,0.1034537947669803,0.1152437898406549,0.019276130422750375,0.02131029974203559,105.05171973835272,96.84778413713002,20.449735056287096,25.84408650288116,0.21107202868778394,0.18809030634768126,1.8389980981133174,1.8394288386954094,0.34265313579136586,0.34013789342525885
287dcf4f1a19,Bi2P2S6,1.406,Bi,S,208.9804,32.065,3,52.95233155625633,116.56600387301056,39.072340771009216,111.03518233597106,0.3498893636748771,0.8742788918454515,0.5955180126929766,0.10190619065307799,24.848548329581796,99.9484735928241,23.886798381136856,13.443298068482475,0.8599441662300487,0.9027750754848929,13.670996449656371,97.07571616855043,23.26828272721417,11.315172460328744
2d41b3dd1772,BiITe,2.086,Bi,Te,208.9804,127.6,3,139.01025672610828,168.0666431560744,119.46430219386676,156.86937532745873,0.094506141349644,0.6492557456225931,0.46899555244018226,0.2466232698108641,30.038293785388355,104.18587105568335,56.57969798201344,44.71434276014936,0.9040246564075758,0.919259222337323,11.290110229370157,101.84834324357963,56.02822640429342,38.68763827644556
2ea941c8bc3c,MoSTe,2.525,Te,Mo,127.6,95.94,3,91.20457613977048,96.82317421565303,20.495175023260618,23.545946761232443,0.6946723807498082,0.8579987008209125,0.09652080505209824,0.03911613961003718,15.608673627623277,23.28380823119512,71.2746026051897,71.08260524856621,0.2656621523829215,0.24347653372836892,14.23743202729246,20.20239173073581,1.9782107929287711,0.921026540762871
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,133.45573620975708,125.91214780208361,8.623908338459817,9.34662320703426,0.22174662600583825,0.23924436493179543,0.04256627928290237,0.04590938351072017,105.68923661987584,91.58843705840582,21.23161875734019,27.386465708539635,0.21209197845012398,0.22500645648260575,1.9123225770370789,2.2361269334236926,0.36708769084503107,0.42909770934193314
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,132.0976539989391,163.92368276574268,110.96693435129839,152.45366961297438,0.2146693849374178,0.6821565143171925,0.5981070467178079,0.2708526633747904,43.811446865782266,106.87149847677611,67.23929826547807,48.18354730443353,0.8941369584845804,0.9109066585302883,23.821203545584044,103.99726385805148,66.37010538818394,41.29248245593446
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,119.4754926704501,115.26093447244257,38.18761718051479,17.620114938974076,0.03446493005915295,0.03093628807915332,0.9117152028726929,0.9210442273884423,30.240658432387967,30.385819533964717,36.58094157852362,19.315184327983516,0.3014358700618786,0.13897000622964714,1.31613355525215,0.545100951739895,34.816231144957776,16.22890515046293
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,112.05463514007357,108.85229523662531,99.95906261711636,100.17031473367777,0.7446724049675226,0.21039787247054098,0.02383534661449358,0.5705722849148209,74.84278989852125,23.290375488777276,13.709527312019054,60.00719271806388,0.8991816494298284,0.9133427007098202,74.43675555738723,21.075621104670287,2.3825589047388362,57.15440535823127
