uid,Formula,alpha_R,E_pfrac_VBM_w05,E_pfrac_CBM_w05,max_mass,max_Z,max_Z4,X_diff,X_mean,radius_diff,radius_mean,WM_VBM_w05,WZ4_VBM_w05,pZ4_VBM_w05,Wr_VBM_w05,WX_VBM_w05,WM_CBM_w05,WZ4_CBM_w05,pZ4_CBM_w05,Wr_CBM_w05,WX_CBM_w05,E_pfrac_VBM_w10,E_pfrac_CBM_w10,WM_VBM_w10,WZ4_VBM_w10,pZ4_VBM_w10,Wr_VBM_w10,WX_VBM_w10,WM_CBM_w10,WZ4_CBM_w10,pZ4_CBM_w10,Wr_CBM_w10,WX_CBM_w10
001e03f2c095,SSeW,3.288,0.2040084770471979,0.1538513948793292,183.84,74,29986576,0.2200000000000002,2.4966666666666666,0.3500000000000001,1.1666666666666667,156.254245634959,23938666.554935515,409024.801619392,1.2895861107291413,2.4028891799649674,163.83866559851717,25130525.446196284,393728.4901277952,1.3086684258155714,2.393340043520429,0.224009385476083,0.1944202818853834,154.01274139554604,23451720.671656474,573968.9373260832,1.2846535999287771,2.4063528317062355,158.99504935428067,23946768.30684461,510197.2483964952,1.2987002884506245,2.401450937676236
03bcf7dcdaf2,Sn2Te2,4.804,0.6395982024848003,0.8128259452411994,127.6,52,7311616,0.1400000000000001,2.03,0.05,1.4249999999999998,123.63792228390164,6838477.068992863,4560372.554269098,1.4222839016653448,2.037605075337034,120.9402270751847,6516326.743155149,5193890.251629726,1.4374565406345066,1.995121686223381,0.6785544244677716,0.8358953535587912,123.66362482145692,6841546.385653072,4798730.550162106,1.4221393429614348,2.0380098397079838,120.70503722180328,6488241.106328674,5335132.3849411225,1.43877931821258,1.991417909004776
04fdd7d1ec5c,ClSbTe,1.018,0.9148500153292562,0.915593217033476,127.6,52,7311616,1.1100000000000003,2.436666666666667,0.4499999999999999,1.2833333333333332,105.54850465525308,5561467.13033095,5023566.763687413,1.321689284043051,2.3265878689106545,105.82027613577635,5561166.478591141,5017809.381234704,1.3413131027488765,2.294778792990805,0.8840911585585108,0.92019295831051,97.4780733386576,4929529.746683372,4165883.373464699,1.2857054720116277,2.4209037884322044,108.85198956036622,5796866.22080654,5289650.366703643,1.356274137050113,2.257103600016571
05a06afa3b20,WMo3Se8,1.643,0.1732631739495157,0.166401293388531,183.84,74,29986576,0.3899999999999997,2.3566666666666665,0.3,1.3166666666666669,109.4766872569206,7831148.341950736,303932.93006939674,1.3803210554411651,2.2636612521924806,101.23836170786076,5355573.78262254,280412.0238101071,1.3856514709844938,2.2503422090488203,0.2290036829903243,0.17766113078223,107.5532586671836,7438871.308623251,457312.47901335976,1.3642074329428404,2.283852250998413,104.7225927244669,6442835.450204315,336644.9825346294,1.3796331248599998,2.2610277612178846
0b7696e1f4c9,CrW3Se8,1.756,0.1418156570039924,0.1080584260731319,183.84,74,29986576,0.8899999999999999,2.19,0.25,1.3,116.37476517965632,14098823.09599028,342285.6226349593,1.3417896198576638,2.1070716889428915,102.02780481418918,11010879.032591416,306396.72893481713,1.3538180643879172,2.0103805643879173,0.1813042425403861,0.1534142461286447,119.81943030722792,14643671.889918644,535443.5543743666,1.3295879562075483,2.15929683247306,101.56165929685558,10677476.711445078,474290.76678368496,1.3431650236662056,2.0416379846584176
0c0fbdaf8f4a,ClSbSe,2.682,0.804787950185123,0.8035844885051758,121.76,51,6765201,1.1100000000000003,2.5866666666666664,0.4499999999999999,1.2,77.22761433860651,2344769.144353753,1091122.026682935,1.1824713901043418,2.599530966004712,101.5932211863653,4717592.339300327,4471575.488953159,1.327184675026415,2.297766586643004,0.7943110472668419,0.8322172034831463,76.22026915401341,2319594.232683762,984960.8719496856,1.1791375562687512,2.6137460864792192,100.0199557433734,4513650.675187356,4274699.372346138,1.3159978426307306,2.316041281864143
0f02957b17cf,ISbTe,3.658,0.8226314474507389,0.8495579375490312,127.6,53,7890481,0.6100000000000003,2.27,0.05,1.4166666666666667,126.08152767598,7394764.090053214,6185342.771352772,1.410917861584845,2.2849457401428297,124.1821878130401,7115274.556588563,5990804.137431933,1.4281205416483544,2.179231314579252,0.848391125348033,0.8724804784156919,126.2384349629103,7456754.178007007,6423195.164660558,1.4091369834865288,2.3278687601669863,124.31628621792292,7125062.332141049,6176563.707425352,1.4269979531776622,2.1779545240966587
114b3382699c,AsITe,0.579,0.9801604016191612,0.9225852152289536,127.6,53,7890481,0.56,2.313333333333333,0.25,1.3166666666666669,125.6409706230883,7599849.521386064,7523336.3527379185,1.3932847242105226,2.5401695150812964,101.26793755183624,4369587.079423371,3863461.619627203,1.2756341996481912,2.2416449791721664,0.9466262309905492,0.9096856795947482,123.601987975698,7302581.731075179,7176561.610318106,1.38330714669633,2.4922933238169733,100.78256573159332,4307963.359147895,3737167.13403122,1.2733048042266846,2.2379915159042483
11db0908d9ef,BiBrSe,0.393,0.8929259186275378,0.922672147328186,208.9804,83,47458321,0.94,2.51,0.4500000000000002,1.3,98.15003247160482,8088822.400758333,3184584.586494812,1.2153675252563954,2.604662148370272,154.38753682700417,28068925.940024137,27529278.462277032,1.4105997875653222,2.3001151718755457,0.9198579768745668,0.9316661883508596,93.95054861614436,6580371.219090527,2957957.507651806,1.2004735514971427,2.6673277702710685,143.91808390699256,24350040.204430472,23378540.33214057,1.374267970398002,2.355089760764316
159f028a85d0,CrMo3Te8,0.896,0.1498559825622129,0.0707033107926463,127.6,52,7311616,0.5000000000000002,1.9733333333333332,0.05,1.4166666666666667,84.73177938863947,2728197.5086799697,1053978.1135013103,1.424501128785323,1.970205776266964,73.3244898463511,1836683.3714250263,485747.7888206463,1.4181731703786424,1.8729048534855348,0.2569664710702297,0.1252595031050306,92.29505337172574,3427340.9582375176,1763449.4152988135,1.4244661571908124,2.0140517207200066,84.13341619554562,2655873.486043499,861352.6995978545,1.4251699623373366,1.9699907381972055
