n_atoms,a,b,c,gamma,vac_axis,slab_thick,vacuum,inplane_min,inplane_max,min_bond,avg_nbr_4A,avg_nbr_5A,avg_nbr_6A,avg_nbr_7A,avg_nbr_8A,Formula,uid
12,6.553,5.673,18.306,90.0,2,3.306,15.0,5.673,6.553,2.457,10.67,18.67,32.67,45.33,58.67,Cr2W2Se8,548aa830244c
12,6.264,5.41,18.096,90.0,2,3.096,15.0,5.41,6.264,2.326,14.67,21.33,32.67,54.67,61.33,Cr2W2S8,5974b6403c31
3,4.083,4.083,19.5,120.0,2,3.451,16.049,4.083,4.083,2.695,4.0,14.0,18.0,26.0,36.0,ISSb,5b94060698bc
12,7.1,6.148,18.622,90.0,2,3.622,15.0,6.148,7.1,2.731,10.67,14.67,26.67,32.67,54.67,MoW3Te8,5c3fe56a1a89
10,7.083,7.094,18.412,119.9,2,3.283,15.129,7.083,7.094,2.236,6.8,15.2,20.0,29.6,42.2,P2Sb2Se6,5d1a32a28ffa
3,3.934,3.934,19.5,120.0,2,3.35,16.15,3.934,3.934,2.653,10.0,16.0,18.0,36.0,42.0,AsISe,5d829e480507
2,3.949,3.949,16.429,120.0,2,1.439,14.99,3.949,3.949,2.696,9.0,12.0,12.0,24.0,30.0,PbS,5e4ff1f56b4a
12,6.543,5.665,18.303,90.0,2,3.303,15.0,5.665,6.543,2.453,10.67,18.67,32.67,46.67,58.67,Cr2Mo2Se8,60065d3bbcf2
12,7.038,6.102,18.588,90.0,2,3.588,15.0,6.102,7.038,2.651,10.67,16.67,26.67,34.0,54.67,Cr2W2Te8,62bb754c4cb2
12,6.311,5.461,18.158,90.0,2,3.158,15.0,5.461,6.311,2.327,13.67,20.0,32.67,52.0,58.67,CrMo3S8,644f7c1c85c7
12,6.995,6.056,18.528,90.0,2,3.528,15.0,6.056,6.995,2.633,10.67,17.67,27.67,39.67,54.67,WCr3Te8,6523c349753c
3,3.868,3.868,18.232,120.0,2,3.63,14.602,3.868,3.868,2.809,10.67,14.67,18.67,32.67,42.67,AsBrTe,671e6de2497a
3,3.433,3.433,18.232,120.0,2,3.495,14.738,3.433,3.433,2.563,10.67,18.67,32.67,42.67,54.67,SeTeW,6e2a4c6f4f57
3,4.272,4.272,19.5,120.0,2,3.642,15.858,4.272,4.272,2.884,4.0,12.0,16.0,26.0,36.0,BiISe,70cbc0e44d36
12,7.387,6.404,18.465,90.0,2,3.465,15.0,6.404,7.387,2.652,10.67,16.83,26.67,32.67,50.67,HfZr3Se8,70e7ab872359
12,6.248,5.403,18.093,90.0,2,3.093,15.0,5.403,6.248,2.32,14.67,22.67,32.67,54.67,62.67,Cr2Mo2S8,72b286460831
3,3.362,3.362,18.232,120.0,2,3.39,14.842,3.362,3.362,2.443,10.67,18.67,32.67,42.67,58.67,STeW,75ee10091f43
4,4.325,4.064,17.11,90.0,2,2.864,14.246,4.064,4.325,2.59,7.0,16.0,21.0,33.0,41.0,S2Sn2,7a8373382b33
3,4.029,4.029,18.232,120.0,2,3.557,14.676,4.029,4.029,2.868,4.67,12.67,18.67,32.67,36.67,BiClSe,7fe9c5cb910c
12,7.374,6.395,18.465,90.0,2,3.465,15.0,6.395,7.374,2.656,10.67,17.67,26.67,32.67,50.67,Hf2Zr2Se8,81af2831dbb2
10,7.571,7.591,18.412,119.9,2,3.512,14.9,7.571,7.591,2.298,5.0,14.0,17.6,24.8,40.4,P2Sb2Te6,82b85dfd7723
12,7.216,6.233,18.437,90.0,2,3.437,15.0,6.233,7.216,2.547,10.67,18.67,26.67,33.33,54.67,Ti2Zr2Se8,846b50801a93
12,6.05,6.986,18.531,90.0,2,3.532,15.0,6.05,6.986,2.631,10.67,17.67,27.67,39.67,54.67,MoCr3Te8,899032b4ad0c
3,3.325,3.325,19.5,120.0,2,3.479,16.021,3.325,3.325,2.42,12.0,16.0,32.0,42.0,58.0,STeW,916afba26723
12,6.485,5.613,18.232,90.0,2,3.232,15.0,5.613,6.485,2.434,10.67,18.67,32.67,50.67,58.67,MoCr3Se8,961c37d6e527
3,4.304,4.304,19.5,120.0,2,3.377,16.123,4.304,4.304,2.96,4.0,12.0,16.0,26.0,36.0,BiClTe,968a6902b7f5
12,7.026,6.091,18.584,90.0,2,3.584,15.0,6.091,7.026,2.648,10.67,16.67,26.67,34.67,54.67,Cr2Mo2Te8,988b11badabb
3,3.947,3.947,18.232,120.0,2,3.456,14.777,3.947,3.947,2.751,10.67,14.67,18.67,32.67,42.67,BiClS,99fd027b1d0b
12,6.372,5.518,18.13,90.0,2,3.13,15.0,5.518,6.372,2.411,13.0,18.67,32.67,50.67,58.67,WMo3S8,9c2979187585
2,4.078,4.078,16.534,120.0,2,1.548,14.986,4.078,4.078,2.818,3.0,12.0,12.0,18.0,24.0,PbSe,a0dbdc6630fa
12,7.309,6.325,18.453,90.0,2,3.453,15.0,6.325,7.309,2.553,10.67,17.5,26.67,32.67,52.33,TiZr3Se8,a148361e5e9a
12,6.641,5.751,18.347,90.0,2,3.347,15.0,5.751,6.641,2.541,10.67,18.67,32.67,42.67,58.67,Mo2W2Se8,a1d716aad84d
12,6.594,5.707,18.38,90.0,2,3.38,15.0,5.707,6.594,2.458,10.67,18.67,32.67,42.67,58.67,CrMo3Se8,a7233837cfe9
3,4.146,4.146,19.5,120.0,2,3.286,16.214,4.146,4.146,2.866,4.0,12.0,18.0,26.0,36.0,BiClSe,a80866a2c6b4
3,4.296,4.296,18.232,120.0,2,4.06,14.173,4.296,4.296,3.077,4.0,10.67,18.67,26.67,32.67,BiITe,a84d988e38ac
