bs_m_eff_VBM,bs_m_eff_CBM,bs_m_eff_ratio,bs_VBM_kdist_to_gamma,bs_CBM_kdist_to_gamma,bs_VBM_at_gamma,bs_CBM_at_gamma,bs_band_gap_at_VBM_kpt,bs_band_gap_at_CBM_kpt,bs_VBM_curvature,bs_CBM_curvature,uid
-0.1904639484996219,0.2137300603671712,1.1221549382485658,1.2880082143862466,1.2880082143862466,0,0,1.4175,1.4175,-10.001892825422454,8.913112159924355,001e03f2c095
-0.05322587661880785,0.059739631017586274,1.122379466766297,0.546033289653497,0.5779851163021225,0,0,0.6365000000000001,0.661,-35.79086190807519,31.88837908019891,03bcf7dcdaf2
-0.15051443786525207,0.34130574366421534,2.267594713869038,0.0,1.028671740212299,1,0,1.6515999999999997,2.1719999999999997,-12.656593128331314,5.581505835642145,04fdd7d1ec5c
-0.26676805190851377,0.22546361481738797,0.8451672275010995,0.3190422940075173,0.3190422940075173,0,0,1.3204,1.3204,-7.141035016641746,8.449256885830275,05a06afa3b20
-0.2513918482407151,0.4386830628759908,1.745017055827279,0.3210230349463543,0.3431627515633853,0,0,0.9049,0.9059,-7.577811346435969,4.3425428543123745,0b7696e1f4c9
-0.5241313656199219,0.10521484295645087,0.20074135962461795,0.3339211654853308,0.012671135597121632,0,1,2.0646,1.5711000000000004,-3.634585000931667,18.105810420574333,0c0fbdaf8f4a
-0.22194623089243165,0.0950708980475267,0.42835103648866973,0.24557818936063985,0.025457657115143334,0,1,1.3168000000000002,1.2717,-8.58315994977755,20.037677555624594,0f02957b17cf
-0.11005145172391746,0.25676722292376586,2.333156163790638,0.0,1.0574090045095208,1,0,0.7195999999999999,1.6273,-17.31008514798162,7.419171256783013,114b3382699c
-0.48644260061712347,0.1756268349234205,0.36104328588945994,0.3465849432339163,0.03813216904833635,0,1,1.7236,1.6097,-3.916186611911106,10.84686176136265,11db0908d9ef
-0.35270509882790746,0.5234591546097359,1.4841269841271647,0.3002368056370845,0.32247656901760924,0,0,0.6667,0.668,-5.4011127322247505,3.6392524291991215,159f028a85d0
-0.43572550845997643,0.5221414390537327,1.1983265356650423,0.0,0.47374450154568526,1,0,0.13619999999999988,0.5449999999999999,-4.372018536929389,3.6484367213841455,1667d1443160
-0.581831895600884,0.3788538377668588,0.6511396859321358,0.0,0.4788179004125848,1,0,0.16959999999999997,0.46409999999999996,-3.2741415766363593,5.028324409299793,18e377cce57f
-0.42314036813145933,0.08153481243992144,0.19268975163010346,0.2967103969804769,0.012363922242176473,0,1,1.7843999999999998,1.4304999999999999,-4.502052140315205,23.364253169818603,18e62ba75259
-0.05297381700777479,0.038047533470446676,0.7182328104629985,0.012777521358325094,0.0,1,1,0.1493000000000002,0.1484000000000001,-35.96116171353878,50.068948660751005,1a3bdd1b142a
-0.37967566971394295,0.10445694850457367,0.27512152301798565,0.3345356505009882,0.012391200494556602,0,1,2.1349,1.9277999999999995,-5.017440283796099,18.237178352157102,1a3be826b3e0
-0.3695025808934145,0.1323353364148615,0.3581445523192016,0.35909027422411166,0.024764846498214598,0,1,1.9707,2.0730000000000004,-5.155579686057755,14.395248099328253,1dcd471c2288
-0.47095264871331677,0.09592605513836619,0.20368513777434832,0.32898277005479404,1.0150560288499502,0,0,2.9775,0.3879999999999999,-4.044992644599461,19.859046608892438,20f098bd3f31
