janus_z_range,janus_z_std,janus_n_layers,janus_z_dipole_Z,janus_z_dipole_X,janus_z_dipole_mass,janus_z_dipole_Z_abs,janus_z_dipole_X_abs,janus_z_dipole_mass_abs,janus_top_bot_meanZ,janus_top_bot_meanX,janus_top_bot_meanZ_abs,janus_top_bot_meanX_abs,uid
3.2510144100000007,1.3278705880245596,3,-0.2127535079569893,0.0049033219181134815,-0.2329597731167371,0.2127535079569893,0.0049033219181134815,0.2329597731167371,11.0,-0.08000000000000007,11.0,0.08000000000000007,001e03f2c095
3.155054309999999,1.463263874405754,2,6.991176456921824e-07,1.2294827572564111e-06,1.286886239543385e-06,6.991176456921824e-07,1.2294827572564111e-06,1.286886239543385e-06,0.0,0.0,0.0,0.0,03bcf7dcdaf2
3.6483584999999996,1.4894477623864473,3,0.5309071537499997,-0.26385768112175145,0.5890095350810879,0.5309071537499997,0.26385768112175145,0.5890095350810879,18.0,-0.5049999999999999,18.0,0.5049999999999999,04fdd7d1ec5c
3.3418101999999994,1.364102376190695,3,-2.575141247810952e-07,-2.7400661199790886e-06,-1.1191367580136389e-06,2.575141247810952e-07,2.7400661199790886e-06,1.1191367580136389e-06,-5.333333333333336,-0.033333333333333215,5.333333333333336,0.033333333333333215,05a06afa3b20
3.390761799999998,1.3480782368573503,3,2.733814350106247e-05,6.407299817380721e-06,3.0223609028500044e-05,2.733814350106247e-05,6.407299817380721e-06,3.0223609028500044e-05,-2.0,0.1434285714285708,2.0,0.1434285714285708,0b7696e1f4c9
3.2478999700000006,1.326315219594071,3,0.2816679433333335,-0.13222428390463936,0.3111957255040586,0.2816679433333335,0.13222428390463936,0.3111957255040586,25.5,-0.8600000000000003,25.5,0.8600000000000003,0c0fbdaf8f4a
3.7052842000000004,1.5150615206845033,3,-0.013031591410256628,-0.15817070942731298,0.0016702405832643588,0.013031591410256628,0.15817070942731298,0.0016702405832643588,-1.5,-0.585,1.5,0.585,0f02957b17cf
3.8066450200000013,1.5575438103477572,3,-0.0346092239855066,-0.1578277683381359,-0.01938389136139554,0.0346092239855066,0.1578277683381359,0.01938389136139554,-10.5,-0.52,10.5,0.52,114b3382699c
3.71352452,1.5189570063319995,3,0.03024233094298305,-0.11408691286852542,0.042097758889552875,0.03024233094298305,0.11408691286852542,0.042097758889552875,23.5,-0.6749999999999998,23.5,0.6749999999999998,11db0908d9ef
3.6876119999999997,1.453365297968796,3,-2.8688554181370323e-05,-4.883587944337906e-06,-3.432664933939627e-05,2.8688554181370323e-05,4.883587944337906e-06,3.432664933939627e-05,-4.857142857142854,-0.057714285714285385,4.857142857142854,0.057714285714285385,159f028a85d0
3.732103800000001,1.497674399563197,3,0.00048565099388192583,-3.2739754198514845e-05,0.0005182201286727051,0.00048565099388192583,3.2739754198514845e-05,0.0005182201286727051,14.57142857142857,-0.2308571428571431,14.57142857142857,0.2308571428571431,1667d1443160
3.714269299999999,1.4907449447245036,3,5.094435185129058e-05,-1.5035522774823552e-05,5.0898660177194846e-05,5.094435185129058e-05,1.5035522774823552e-05,5.0898660177194846e-05,-1.7142857142857153,-0.18799999999999994,1.7142857142857153,0.18799999999999994,18e377cce57f
3.5094367799999997,1.432816973430206,3,0.21743180311594265,-0.21382305094233403,0.25546108374248894,0.21743180311594265,0.21382305094233403,0.25546108374248894,16.5,-0.8849999999999998,16.5,0.8849999999999998,18e62ba75259
0.5127096399999997,0.25635481999999987,2,0.05437829515151557,-0.006252556585365418,0.05701373689570109,0.05437829515151557,0.006252556585365418,0.05701373689570109,28.0,-0.10000000000000009,28.0,0.10000000000000009,1a3bdd1b142a
3.0870583000000007,1.2608182409929019,3,0.31700508154762025,-0.12376572858048045,0.3595317635484176,0.31700508154762025,0.12376572858048045,0.3595317635484176,16.5,-0.7949999999999999,16.5,0.7949999999999999,1a3be826b3e0
3.14065289,1.2881789336970353,3,-0.33949541702381075,-0.09073224436960399,-0.3841471100145908,0.33949541702381075,0.09073224436960399,0.3841471100145908,-10.5,-0.5800000000000001,10.5,0.5800000000000001,1dcd471c2288
2.1540997500000003,0.7742734826292375,3,0.1147586552777775,-0.02684994534228762,0.11956180649590652,0.1147586552777775,0.02684994534228762,0.11956180649590652,49.333333333333336,-0.7399999999999998,49.333333333333336,0.7399999999999998,20f098bd3f31
1.4473597399999996,0.7236798699999998,2,-0.021929693030303024,-0.08569893197368418,-0.030169239963060642,0.021929693030303024,0.08569893197368418,0.030169239963060642,-2.0,-0.54,2.0,0.54,211bcb7f05d6
3.3523022000000005,1.3681649464493768,3,-6.989253729497145e-06,-2.8668825891750875e-06,-8.591165507753191e-06,6.989253729497145e-06,2.8668825891750875e-06,8.591165507753191e-06,4.571428571428569,-0.07199999999999918,4.571428571428569,0.07199999999999918,24d6cc0a0fed
3.235632749999999,1.3423047127069547,4,0.02032983241780652,0.00502197869874329,0.022334172980370676,0.02032983241780652,0.00502197869874329,0.022334172980370676,0.0,0.0,0.0,0.0,287dcf4f1a19
3.7731975799999997,1.5428414553904042,3,0.009864998191489347,-0.1623383431268437,0.02446077643696808,0.009864998191489347,0.1623383431268437,0.02446077643696808,14.5,-0.6000000000000001,14.5,0.6000000000000001,2d41b3dd1772
3.4781426799999995,1.4256943967060953,3,-0.5559958552727265,0.1172801461403514,-0.638597397389526,0.5559958552727265,0.1172801461403514,0.638597397389526,-23.0,0.27,23.0,0.27,2ea941c8bc3c
3.1392447000000008,1.28130849194572,3,4.136991496657048e-05,1.2425669352882339e-06,4.83575866359307e-05,4.136991496657048e-05,1.2425669352882339e-06,4.83575866359307e-05,-8.685714285714283,0.07885714285714318,8.685714285714283,0.07885714285714318,2f6f133abcc8
3.5647540499999986,1.455396963732713,3,0.1836212341764707,-0.21817242271186396,0.2099727088887172,0.1836212341764707,0.21817242271186396,0.2099727088887172,32.5,-0.8999999999999999,32.5,0.8999999999999999,304bc6a92d82
3.6140293000000003,1.4748130190427475,3,3.943950216754967e-06,1.1574245972808315e-06,4.1392202921038645e-06,3.943950216754967e-06,1.1574245972808315e-06,4.1392202921038645e-06,2.2857142857142847,0.04228571428571426,2.2857142857142847,0.04228571428571426,323fb700d903
3.8611589100000003,1.583679777590664,3,-0.25407645992753564,-0.04574788498622531,-0.2701192681732019,0.25407645992753564,0.04574788498622531,0.2701192681732019,-10.5,-0.3600000000000003,10.5,0.3600000000000003,343d2125478e
6.866516840000001,2.5677787536702747,4,-1.2107142855176097e-06,-2.559849360422688e-07,-1.2958610166845311e-06,1.2107142855176097e-06,2.559849360422688e-07,1.2958610166845311e-06,0.0,0.0,0.0,0.0,3995fa1bee6e
1.684506879999999,0.8422534399999994,2,0.1885642029850754,0.04372873390519272,0.20024902575866269,0.1885642029850754,0.04372873390519272,0.20024902575866269,30.0,0.22999999999999998,30.0,0.22999999999999998,3bc08d486d65
3.4056138000000002,1.3616752899695417,3,0.012369740529411253,-0.0009420444659447128,0.013563146656898086,0.012369740529411253,0.0009420444659447128,0.013563146656898086,18.685714285714283,-0.3337142857142852,18.685714285714283,0.3337142857142852,3e1923c616ad
