uid,Formula,Rashba_parameter,y_pred_C6,y_pred_new,resid_C6,resid_new
70cbc0e44d36,BiISe,2.089,1.5637567,1.5699594,0.5252432956695556,0.5190405979156494
70e7ab872359,HfZr3Se8,0.95,0.8806204,1.0080299,0.0693795800209045,-0.05802993774414067
72b286460831,Cr2Mo2S8,1.344,1.4978759,1.4586769,-0.1538759288787841,-0.11467693424224845
75ee10091f43,STeW,3.947,2.3940578,2.1364942,1.5529422492980958,1.8105058403015137
7a8373382b33,S2Sn2,4.469,3.7236779,4.028734,0.7453221263885501,0.44026579284668
7fe9c5cb910c,BiClSe,0.746,0.92805,0.77972555,-0.1820499815940857,-0.03372555160522461
81af2831dbb2,Hf2Zr2Se8,0.698,1.0236467,1.2755536,-0.32564671230316167,-0.577553584098816
82b85dfd7723,P2Sb2Te6,2.596,2.2669725,2.248726,0.32902745819091805,0.34727410888671884
846b50801a93,Ti2Zr2Se8,1.767,1.6753231,2.173741,0.09167687129974356,-0.406741102218628
899032b4ad0c,MoCr3Te8,1.409,1.1901221,1.1098893,0.21887787246704105,0.29911073112487796
916afba26723,STeW,3.622,2.7249362,2.835404,0.8970637531280516,0.7865960807800292
961c37d6e527,MoCr3Se8,0.977,1.2263267,1.2502918,-0.24932670402526858,-0.27329182434082033
968a6902b7f5,BiClTe,1.175,1.4251001,1.3806887,-0.2501000881195068,-0.20568866729736324
988b11badabb,Cr2Mo2Te8,1.105,1.4255573,1.3856297,-0.3205572557449341,-0.2806296539306641
99fd027b1d0b,BiClS,0.461,0.95206386,0.9611036,-0.4910638585090637,-0.5001036181449889
9c2979187585,WMo3S8,1.816,2.0549126,2.0146432,-0.23891256713867182,-0.1986431922912597
a0dbdc6630fa,PbSe,1.603,1.2541523,1.3080869,0.34884770202636717,0.2949131278991699
a148361e5e9a,TiZr3Se8,1.321,1.4182506,1.6183645,-0.0972505607604981,-0.2973644533157349
a1d716aad84d,Mo2W2Se8,1.784,1.6688857,1.7545259,0.11511429214477542,0.02947410011291507
a7233837cfe9,CrMo3Se8,1.311,1.8447462,1.7353492,-0.5337462320327759,-0.42434917831420904
a80866a2c6b4,BiClSe,3.032,2.1526854,2.3480508,0.8793145961761475,0.6839491672515869
a84d988e38ac,BiITe,0.467,1.441895,1.617977,-0.9748950080871581,-1.1509770231246947
a9f87eba4b96,CrW3S8,1.909,1.7709789,1.8843576,0.13802107238769534,0.024642428398132354
