n_features,features,features_str,loo_r2,loo_mae,best_params,kernel,C,gamma,epsilon
5,"['old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_CBM']","old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_ehull, E_sfrac_CBM",0.010872889035645317,0.6762216318353172,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",rbf,0.1,scale,0.01
5,"['old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM, E_sfrac_CBM",0.11518522008393783,0.6247114886003408,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,10.0,auto,0.2
5,"['old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM']","old_radius_mean, old_max_Z4, old_kpath_angle_deg, old_ehull, E_sfrac_VBM",0.058459986814174414,0.6700060765561077,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,1.0,auto,0.1
5,"['old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']","old_radius_mean, old_max_Z4, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",0.15811696262752384,0.6079171965195035,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.1
5,"['old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",0.29573020016691864,0.5241289702243327,"{'svr__C': 100.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,100.0,auto,0.01
5,"['old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, old_max_Z4, old_ehull, E_sfrac_VBM, E_sfrac_CBM",-0.016205273855660618,0.6535805194736853,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.1
5,"['old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM']","old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_VBM",0.04934367005748819,0.681980925401437,"{'svr__C': 100.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.01
5,"['old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']","old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",0.19656716175451083,0.6140887172949956,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
5,"['old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",0.2775087068515929,0.6009878500456763,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",rbf,10.0,auto,0.2
5,"['old_radius_mean', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, pmid_afs_gauss_std, old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.39259361893790634,0.5371149815971259,"{'svr__C': 100.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.01
5,"['old_radius_mean', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_radius_mean, old_kpath_angle_deg, old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.014431099404015435,0.6817439646299011,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
5,"['old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM']","old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_VBM",0.4010982865094066,0.5335642992989278,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,10.0,1.0,0.2
5,"['old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']","old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",0.38540233132705304,0.5144191355159485,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,10.0,1.0,0.2
5,"['old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",0.22291765917588324,0.5552963392217721,"{'svr__C': 1.0, 'svr__epsilon': 0.01, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.01
5,"['old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_max_Z4, pmid_afs_gauss_std, old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.17033329440279676,0.5775543887254079,"{'svr__C': 1.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.2
5,"['old_max_Z4', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_max_Z4, old_kpath_angle_deg, old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.2896037824918022,0.509086771332269,"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,10.0,1.0,0.01
