n_feat,features,features_full,loo_r2,loo_mae
3,"E_pfrac_VBM, E_pfrac_CBM, pmid_afs_gauss_std","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std",0.5533241139832806,0.4719390189816253
3,"E_pfrac_VBM, E_pfrac_CBM, kpath_angle_deg","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg",0.4959943872032758,0.49506010520337806
3,"E_pfrac_VBM, E_pfrac_CBM, ehull","old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull",0.4451203236106853,0.5362616302365004
3,"E_pfrac_VBM, E_pfrac_CBM, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, E_sfrac_VBM",0.5212077258558168,0.49240563190826264
3,"E_pfrac_VBM, E_pfrac_CBM, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, E_sfrac_CBM",0.5149626189681151,0.4754829441899001
3,"E_pfrac_VBM, radius_mean, max_Z4","old_E_pfrac_VBM, old_radius_mean, old_max_Z4",0.2836862780477407,0.6080207826970805
3,"E_pfrac_VBM, radius_mean, pmid_afs_gauss_std","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std",0.34697368984667265,0.5661824116080698
3,"E_pfrac_VBM, radius_mean, kpath_angle_deg","old_E_pfrac_VBM, old_radius_mean, old_kpath_angle_deg",0.30554425411246355,0.5999981394440237
3,"E_pfrac_VBM, radius_mean, ehull","old_E_pfrac_VBM, old_radius_mean, old_ehull",0.3599653169037329,0.5608826635365534
3,"E_pfrac_VBM, radius_mean, E_sfrac_VBM","old_E_pfrac_VBM, old_radius_mean, E_sfrac_VBM",0.42320265049310024,0.5460628792252203
3,"E_pfrac_VBM, radius_mean, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, E_sfrac_CBM",0.4749993707578972,0.5134696561688125
3,"E_pfrac_VBM, max_Z4, pmid_afs_gauss_std","old_E_pfrac_VBM, old_max_Z4, pmid_afs_gauss_std",0.19157070443257318,0.633438502701846
3,"E_pfrac_VBM, max_Z4, kpath_angle_deg","old_E_pfrac_VBM, old_max_Z4, old_kpath_angle_deg",-0.0009543170237493737,0.7221821908854474
3,"E_pfrac_VBM, max_Z4, ehull","old_E_pfrac_VBM, old_max_Z4, old_ehull",0.09510279363369856,0.6672435613256512
3,"E_pfrac_VBM, max_Z4, E_sfrac_VBM","old_E_pfrac_VBM, old_max_Z4, E_sfrac_VBM",0.37737574406790886,0.5764327409243343
3,"E_pfrac_VBM, max_Z4, E_sfrac_CBM","old_E_pfrac_VBM, old_max_Z4, E_sfrac_CBM",0.3027940619604428,0.5722622511073796
3,"E_pfrac_VBM, pmid_afs_gauss_std, kpath_angle_deg","old_E_pfrac_VBM, pmid_afs_gauss_std, old_kpath_angle_deg",0.37357307367544534,0.5708602958881493
3,"E_pfrac_VBM, pmid_afs_gauss_std, ehull","old_E_pfrac_VBM, pmid_afs_gauss_std, old_ehull",0.45819665730100034,0.532976994206207
3,"E_pfrac_VBM, pmid_afs_gauss_std, E_sfrac_VBM","old_E_pfrac_VBM, pmid_afs_gauss_std, E_sfrac_VBM",0.45495415341952605,0.5192855593363445
3,"E_pfrac_VBM, pmid_afs_gauss_std, E_sfrac_CBM","old_E_pfrac_VBM, pmid_afs_gauss_std, E_sfrac_CBM",0.5516714282935018,0.4610706480488634
3,"E_pfrac_VBM, kpath_angle_deg, ehull","old_E_pfrac_VBM, old_kpath_angle_deg, old_ehull",0.12016436700560229,0.6606665367622567
3,"E_pfrac_VBM, kpath_angle_deg, E_sfrac_VBM","old_E_pfrac_VBM, old_kpath_angle_deg, E_sfrac_VBM",0.38734532811200995,0.5700483563018568
3,"E_pfrac_VBM, kpath_angle_deg, E_sfrac_CBM","old_E_pfrac_VBM, old_kpath_angle_deg, E_sfrac_CBM",0.36453925241337226,0.5628749366721721
3,"E_pfrac_VBM, ehull, E_sfrac_VBM","old_E_pfrac_VBM, old_ehull, E_sfrac_VBM",0.3661764754364486,0.5628354018962745
