n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, old_ehull",SVR_RBF,0.4013295818211702,0.5092406906056374
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_VBM",LR,0.3837999634093232,0.5920149917825178
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_VBM",SVR_RBF,0.30684891979181506,0.5951011154214345
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_CBM",LR,0.10054367671832254,0.6927285531479497
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_CBM",SVR_RBF,0.3777526779016257,0.5255871527839144
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull, E_sfrac_VBM",LR,0.31635937136145,0.6102962221467472
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull, E_sfrac_VBM",SVR_RBF,0.3805914887351438,0.5439922037856757
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull, E_sfrac_CBM",LR,0.038410902274150005,0.7015450679464088
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull, E_sfrac_CBM",SVR_RBF,0.3712539166661972,0.5280615916981675
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, E_sfrac_VBM, E_sfrac_CBM",LR,0.3312695795551339,0.6093239544679011
