uid,Formula,E_sfrac_VBM,E_pfrac_VBM,E_dfrac_VBM,E_sfrac_CBM,E_pfrac_CBM,E_dfrac_CBM
001e03f2c095,SSeW,0.01866311592262658,0.2579403272377286,0.7233965568396448,0.030201125588003003,0.21272421107010336,0.7570746633418938
03bcf7dcdaf2,Sn2Te2,0.2463903455211551,0.7230802384886142,0.030529415990230586,0.11563710331932729,0.8313625576593141,0.05300033902135834
04fdd7d1ec5c,ClSbTe,0.09608935246059067,0.8927563638512565,0.01115428368815282,0.04471145285843351,0.9142568864210393,0.04103166072052704
05a06afa3b20,WMo3Se8,0.014543216344967738,0.30010199072672844,0.6853547929283038,0.021883989174023323,0.18257145286307405,0.7955445579629026
0b7696e1f4c9,CrW3Se8,0.013972781272713597,0.24260633098573897,0.7434208877415474,0.024378248110562814,0.17081714401254702,0.8048046078768901
0c0fbdaf8f4a,ClSbSe,0.18961318255618542,0.8022972626541717,0.008089554789643091,0.1280173976078289,0.8450888002899601,0.026893802102210946
0f02957b17cf,ISbTe,0.11723171229222673,0.8684425243469983,0.014325763360774919,0.08795719909822,0.8737507991520574,0.038292001749722394
114b3382699c,AsITe,0.05467354299389894,0.9344810732463682,0.010845383759733037,0.03716311346670088,0.9148420927482183,0.04799479378508093
11db0908d9ef,BiBrSe,0.046125074628045916,0.9405031610661038,0.013371764305850445,0.03198096467172125,0.9340216163897404,0.03399741893853848
159f028a85d0,CrMo3Te8,0.013092494949448674,0.2973091212269747,0.6895983838235764,0.02090162402004163,0.1281891491032368,0.8509092268767217
1667d1443160,TiHf3Te8,0.012061751093641031,0.6920777821050439,0.29586046680131506,0.013261739161771596,0.14450315981902703,0.8422351010192014
18e377cce57f,Ti2Zr2Te8,0.012241744940685596,0.6442464290810326,0.34351182597828167,0.009789340913797323,0.1270543496677272,0.8631563094184757
18e62ba75259,BrSbTe,0.1300191421160533,0.854984312526193,0.01499654535775369,0.09055836774853387,0.8707067307069897,0.03873490154447653
1a3bdd1b142a,HgTe,0.05565942500791466,0.8214872379951139,0.12285333699697151,0.29205020920502095,0.5928870292887031,0.11506276150627616
1a3be826b3e0,AsClSe,0.15342424919889705,0.8366793352708847,0.009896415530218347,0.11185169756300772,0.8581356156861262,0.0300126867508663
1dcd471c2288,AsBrS,0.13448588789225874,0.8542625667464555,0.011251545361285737,0.08099784416384355,0.9020237042629922,0.01697845157316431
20f098bd3f31,O2Pb2,0.08309049755357069,0.8909881947926973,0.025921307653731986,0.08753231004882407,0.8986182468009063,0.013849443150269649
211bcb7f05d6,GeSe,0.11670141377288422,0.8635415988012248,0.01975698742589094,0.16717329894374852,0.7528402112503071,0.0799864898059445
24d6cc0a0fed,MoW3Se8,0.01566649626572572,0.26992444172911234,0.7144090620051619,0.02378803878275895,0.18837583863983018,0.7878361225774106
287dcf4f1a19,Bi2P2S6,0.1169460268863878,0.8721175727252647,0.010936400388347518,0.08338709391035695,0.9094691611574405,0.007143744932202486
2d41b3dd1772,BiITe,0.051149177102826154,0.9303509641785155,0.018499858718658196,0.057509386733416774,0.9206821026282854,0.021808510638297873
2ea941c8bc3c,MoSTe,0.007745666591906699,0.2543574380827272,0.7378968953253661,0.019043195541105437,0.2809439574665731,0.7000128469923215
2f6f133abcc8,MoW3S8,0.01947177231433186,0.24874071898721248,0.7317875086984557,0.020528127460887915,0.22091941561092482,0.7585524569281873
304bc6a92d82,BiBrTe,0.06384891008664183,0.916947283904754,0.019203806008604263,0.06299260894899869,0.9148955745698777,0.02211181648112369
323fb700d903,WMo3Te8,0.01425530393710231,0.3104270594774362,0.6753176365854615,0.02690294675812034,0.14009144224686665,0.833005610995013
343d2125478e,ISbSe,0.08184758008553947,0.908469133674705,0.009683286239755446,0.04378586191446618,0.9109829597190309,0.04523117836650336
3995fa1bee6e,Pb2Te6,0.07752704849224355,0.899766885218276,0.022706066289480503,0.10429002369284775,0.8547101464309277,0.04099982987622459
3bc08d486d65,PbTe,0.058240499547377554,0.9236453657004562,0.018114134752166118,0.13518270576023347,0.8131271343252147,0.05169015991455178
3e1923c616ad,TiHf3Se8,0.009883166786618026,0.7563107087975924,0.2338061244157897,0.011030596615733218,0.15899010236526562,0.829979301019001
3fb52099b370,MoCr3S8,0.013335316145953032,0.29584826075788506,0.690816423096162,0.014281356196746437,0.15162500975502474,0.8340936340482289
40034665f9f1,BiIS,0.051687859521647,0.9368755676657584,0.01143657281259461,0.033473913158802146,0.9400811649558367,0.026444921885361128
