k_removed,n_remaining,r2,mae,removed_uids,removed_formulas
0,99,0.6433827437194289,0.4286814847136988,,
1,98,0.6167334367827291,0.43417686408879796,03bcf7dcdaf2,Sn2Te2
2,97,0.6519486481393326,0.4072900310791645,"03bcf7dcdaf2, 287dcf4f1a19","Sn2Te2, Bi2P2S6"
3,96,0.6727569624705427,0.4034769929647446,"03bcf7dcdaf2, 287dcf4f1a19, 3995fa1bee6e","Sn2Te2, Bi2P2S6, Pb2Te6"
5,94,0.6312597964416862,0.4126148548988586,"03bcf7dcdaf2, 287dcf4f1a19, 3995fa1bee6e, a84d988e38ac, 75ee10091f43","Sn2Te2, Bi2P2S6, Pb2Te6, STeW, BiITe"
7,92,0.6078350082284856,0.4041537016111871,"03bcf7dcdaf2, 287dcf4f1a19, 3995fa1bee6e, a84d988e38ac, 75ee10091f43, 6e2a4c6f4f57, aa9a981d89aa","Sn2Te2, Bi2P2S6, Pb2Te6, SeTeW, STeW, BiITe,  "
10,89,0.6183596200000372,0.3889296400895279,"03bcf7dcdaf2, 287dcf4f1a19, 3995fa1bee6e, a84d988e38ac, 75ee10091f43, 6e2a4c6f4f57, aa9a981d89aa, 4cb4ea247ef4, de5756e4fbfa, 1a3bdd1b142a","Sn2Te2, HgTe, Bi2P2S6, Pb2Te6, Ga2P2Te6, SeTeW, STeW, BiITe,  , BiBrSe"
