k_removed,random_r2_mean,random_r2_std,random_r2_min,random_r2_max,outlier_r2,pct_random_above_outlier
1,0.6141910288787126,0.013388460662205651,0.5858803140420736,0.6399005841715977,0.6167334367827291,46.0
3,0.6022297885472807,0.020444878591483872,0.5523715434966335,0.651277363911773,0.6727569624705427,0.0
5,0.5970426260507761,0.028128258166389614,0.5110236595178426,0.6401931075474832,0.6312597964416862,6.0
10,0.5748213448096177,0.03628458440902074,0.4904502240407539,0.6640320694899094,0.6183596200000372,12.0
