dropped_uid,dropped_formula,dropped_alpha_R,r2_without,mae_without,delta_r2,abs_residual_when_present
3995fa1bee6e,Pb2Te6,3.064,0.6493226700794558,0.42424698140183265,0.005939926360026826,1.3477274074554444
6e2a4c6f4f57,SeTeW,1.394,0.6399005841715977,0.43061937837211456,-0.003482159547831265,1.2154374656677247
3bc08d486d65,PbTe,2.18,0.6365271976155034,0.4382207511979706,-0.0068555461039255805,0.7586033868789674
211bcb7f05d6,GeSe,0.94,0.6361849783979143,0.44322499310727015,-0.007197765321514615,0.9155756807327271
c798e725e2fb,WCr3Se8,1.16,0.6352108792458431,0.43691762041072457,-0.008171864473585866,0.08626970291137703
badda86cab42,BiClTe,1.458,0.6347144542934458,0.4340667498160381,-0.008668289425983189,0.7810000138282776
df0019ec24b5,ISbSe,2.431,0.6340659594337367,0.43653626202077284,-0.00931678428569227,0.13725590133666987
24d6cc0a0fed,MoW3Se8,2.097,0.6330621831395331,0.44282861040562993,-0.010320560579895832,0.43447673034667966
eadd37f03ca5,GeTe,0.952,0.633017631567663,0.43565419772206515,-0.010365112151765943,0.17389521789550777
62bb754c4cb2,Cr2W2Te8,1.535,0.6329774844655396,0.43606022371078024,-0.010405259253889354,0.26348868370056144
de5756e4fbfa,BiBrSe,2.784,0.632958124059682,0.42948987534094835,-0.010424619659746948,1.163350423812866
cf7927ab6730,Bi2P2Te6,1.814,0.6329406791617542,0.43145770305030196,-0.010442064557674713,0.582604299545288
f705a30af945,ClSbSe,1.483,0.6328375404178019,0.43559375447156484,-0.010545203301627004,0.2423168020248414
c55716558616,HfTi3Se8,1.191,0.6320976221110852,0.4438148791595381,-0.011285121608343718,0.03958450222015375
5d829e480507,AsISe,1.626,0.6320386989626677,0.4464195639697872,-0.011344044756761207,0.8026100864410401
49b7be14f786,BiBrS,1.293,0.6318281984626251,0.43500839168684824,-0.011554545256803883,0.6287061996459962
f1e78a09001d,BrSbTe,1.315,0.6312943835889466,0.4388681809075024,-0.012088360130482312,0.18589085578918452
5e4ff1f56b4a,PbS,1.241,0.630397495702475,0.44406298410649203,-0.012985248016953888,0.3178037967681884
644f7c1c85c7,CrMo3S8,1.46,0.6298878386324538,0.4437381706043165,-0.01349490508697515,0.09513966083526615
