uid,Formula,Rashba_parameter,material,y_pred,residual,abs_error
c798e725e2fb,WCr3Se8,1.16,WCr3Se8,1.3455724,-0.18557235240936287,0.18557235240936287
c96ef4fc869c,BiClS,1.181,BiClS,1.8310145,-0.6500145139694213,0.6500145139694213
cce78d90e899,Hf2Ti2Se8,1.409,Hf2Ti2Se8,1.39887,0.010130008697509796,0.010130008697509796
cf7927ab6730,Bi2P2Te6,1.814,Bi2P2Te6,2.0994005,-0.285400520324707,0.285400520324707
d59c96fdfda1,SeSn,0.873,SeSn,1.2488906,-0.37589063835144043,0.37589063835144043
da5fd2bb47af,ClSbTe,2.891,ClSbTe,1.9937342,0.8972657594680786,0.8972657594680786
dc4259e69783,WCr3S8,1.317,WCr3S8,1.3573016,-0.04030159282684331,0.04030159282684331
de5756e4fbfa,BiBrSe,2.784,BiBrSe,1.7442226,1.0397773590087889,1.0397773590087889
df0019ec24b5,ISbSe,2.431,ISbSe,2.5094836,-0.0784835758209228,0.0784835758209228
e688959ea45b,SnTe,0.806,SnTe,0.99195105,-0.18595104837417598,0.18595104837417598
eadd37f03ca5,GeTe,0.952,GeTe,0.8069409,0.14505908679962154,0.14505908679962154
eef072f845ce,CrW3Te8,1.592,CrW3Te8,1.2642463,0.32775365543365487,0.32775365543365487
f1e78a09001d,BrSbTe,1.315,BrSbTe,1.11582,0.19917994976043696,0.19917994976043696
f4f45fcade85,BiBrTe,0.498,BiBrTe,1.0605714,-0.5625714321136475,0.5625714321136475
f705a30af945,ClSbSe,1.483,ClSbSe,0.9766953,0.5063047008514405,0.5063047008514405
fba4cc0df459,AsClTe,0.634,AsClTe,0.8675962,-0.23359620904922485,0.23359620904922485
