uid,Formula,kpath,Rashba_parameter,y_pred,residual,abs_residual
968a6902b7f5,BiClTe,M->K,1.175,1.4251001,-0.2501000881195068,0.2501000881195068
961c37d6e527,MoCr3Se8,X->G,0.977,1.2263267,-0.24932670402526858,0.24932670402526858
f705a30af945,ClSbSe,M->K,1.483,1.2406832,0.2423168020248414,0.2423168020248414
5d1a32a28ffa,P2Sb2Se6,X->G,2.546,2.7872827,-0.24128270530700702,0.24128270530700702
9c2979187585,WMo3S8,X->G,1.816,2.0549126,-0.23891256713867182,0.23891256713867182
4c49d27e66e5,ISSb,G->K,0.907,1.1390841,-0.23208410072326657,0.23208410072326657
5974b6403c31,Cr2W2S8,X->G,1.592,1.8198327,-0.22783268260955802,0.22783268260955802
eef072f845ce,CrW3Te8,X->G,1.592,1.3670223,0.22497772407531746,0.22497772407531746
899032b4ad0c,MoCr3Te8,G->Y,1.409,1.1901221,0.21887787246704105,0.21887787246704105
4f1ab08988cc,TiZr3Te8,S->Y,1.679,1.8897256,-0.2107255659103393,0.2107255659103393
04fdd7d1ec5c,ClSbTe,M->K,1.018,1.2254562,-0.20745623779296873,0.20745623779296873
3e1923c616ad,TiHf3Se8,S->Y,1.256,1.4443749,-0.1883749189376831,0.1883749189376831
f1e78a09001d,BrSbTe,M->K,1.315,1.1291091,0.18589085578918452,0.18589085578918452
18e377cce57f,Ti2Zr2Te8,S->Y,1.855,1.6691984,0.18580160617828367,0.18580160617828367
7fe9c5cb910c,BiClSe,M->G,0.746,0.92805,-0.1820499815940857,0.1820499815940857
eadd37f03ca5,GeTe,M->K,0.952,0.7781048,0.17389521789550777,0.17389521789550777
72b286460831,Cr2Mo2S8,X->G,1.344,1.4978759,-0.1538759288787841,0.1538759288787841
52a5e2b280d4,ZrTi3Se8,S->Y,1.091,1.2331073,-0.14210732841491702,0.14210732841491702
a9f87eba4b96,CrW3S8,X->G,1.909,1.7709789,0.13802107238769534,0.13802107238769534
c04fc052f2ca,Mo2W2Te8,X->G,1.645,1.5073458,0.13765420436859133,0.13765420436859133
df0019ec24b5,ISbSe,M->K,2.431,2.568256,-0.13725590133666987,0.13725590133666987
cce78d90e899,Hf2Ti2Se8,S->Y,1.409,1.5429459,-0.13394586181640622,0.13394586181640622
323fb700d903,WMo3Te8,X->G,1.501,1.6307373,-0.1297373046875001,0.1297373046875001
3fb52099b370,MoCr3S8,X->G,1.221,1.3408355,-0.11983545207977286,0.11983545207977286
2f6f133abcc8,MoW3S8,X->G,2.241,2.122695,0.11830503082275401,0.11830503082275401
a1d716aad84d,Mo2W2Se8,X->G,1.784,1.6688857,0.11511429214477542,0.11511429214477542
a148361e5e9a,TiZr3Se8,S->Y,1.321,1.4182506,-0.0972505607604981,0.0972505607604981
05a06afa3b20,WMo3Se8,X->G,1.643,1.7400715,-0.09707153511047362,0.09707153511047362
644f7c1c85c7,CrMo3S8,X->G,1.46,1.5551397,-0.09513966083526615,0.09513966083526615
846b50801a93,Ti2Zr2Se8,Y->S,1.767,1.6753231,0.09167687129974356,0.09167687129974356
da5fd2bb47af,ClSbTe,M->G,2.891,2.8042514,0.08674856758117677,0.08674856758117677
c798e725e2fb,WCr3Se8,X->G,1.16,1.2462697,-0.08626970291137703,0.08626970291137703
70e7ab872359,HfZr3Se8,G->S,0.95,0.8806204,0.0693795800209045,0.0693795800209045
343d2125478e,ISbSe,G->M,1.17,1.1047385,0.06526152610778801,0.06526152610778801
2ea941c8bc3c,MoSTe,G->K,2.525,2.4724615,0.05253853797912589,0.05253853797912589
e688959ea45b,SnTe,M->K,0.806,0.7599216,0.04607838964462285,0.04607838964462285
c55716558616,HfTi3Se8,S->Y,1.191,1.2305845,-0.03958450222015375,0.03958450222015375
60065d3bbcf2,Cr2Mo2Se8,X->G,1.173,1.2088697,-0.035869695663452106,0.035869695663452106
449640ec4d30,Mo2W2S8,X->G,1.954,1.9857198,-0.031719799995422404,0.031719799995422404
548aa830244c,Cr2W2Se8,X->G,1.39,1.378779,0.011220946311950586,0.011220946311950586
20f098bd3f31,O2Pb2,Y->G,1.914,1.9061238,0.007876242637634201,0.007876242637634201
b13beafa16aa,AsIS,M->K,2.033,2.0388658,-0.005865804672241293,0.005865804672241293
