uid,formula,abs_resid_C6,abs_resid_5feat_minus_ehull,abs_resid_7feat_C6_plus_z4,mean_abs_resid_across_sets,n_sets_top10
03bcf7dcdaf2,Sn2Te2,1.2938645877838137,1.815732339859009,1.691973785400391,1.6005235710144046,3
287dcf4f1a19,Bi2P2S6,1.0333055438995362,1.0181609573364259,1.0249234619140626,1.0254633210500081,3
1a3bdd1b142a,HgTe,1.1399605579376222,1.0929085321426393,1.2194701738357545,1.150779754638672,3
a84d988e38ac,BiITe,0.9748950080871581,1.2439869718551635,1.2113876419067382,1.14342320728302,3
75ee10091f43,STeW,1.5529422492980958,1.613386604309082,2.137433382987976,1.767920745531718,3
de5756e4fbfa,BiBrSe,1.163350423812866,0.9898186531066893,1.0145827140808104,1.0559172636667886,3
aa9a981d89aa, ,1.567560655593872,2.001560670852661,1.6477050609588622,1.7389421291351317,3
6e2a4c6f4f57,SeTeW,1.2154374656677247,1.0273690757751466,1.553997808456421,1.2656014499664308,3
4cb4ea247ef4,Ga2P2Te6,1.7003561763763426,1.2394980697631834,1.8131887226104735,1.58434765625,3
3995fa1bee6e,Pb2Te6,1.3477274074554444,0.722473014831543,1.1327474012374878,1.0676492745081585,2
cf7927ab6730,Bi2P2Te6,0.582604299545288,1.0081852779388427,0.6800686225891113,0.7569527333577474,1
1667d1443160,TiHf3Te8,0.7669030075073242,0.7708958034515381,0.6410218124389648,0.726273541132609,0
001e03f2c095,SSeW,0.37667692947387676,0.20910347747802716,0.21077455329895,0.265518320083618,0
04fdd7d1ec5c,ClSbTe,0.20745623779296873,0.319720513343811,0.15287793350219725,0.226684894879659,0
05a06afa3b20,WMo3Se8,0.09707153511047362,0.001519209861755355,0.13721240234374998,0.07860104910532632,0
114b3382699c,AsITe,0.5983545742034913,0.6428868732452393,0.6121482810974122,0.6177965761820475,0
11db0908d9ef,BiBrSe,0.5559409923553467,0.4761080808639526,0.56109095287323,0.5310466753641764,0
0c0fbdaf8f4a,ClSbSe,0.4438785724639893,0.7147778682708741,0.22099820899963385,0.4598848832448324,0
0b7696e1f4c9,CrW3Se8,0.30351265048980713,0.3207181272506714,0.27652271366119385,0.30025116380055744,0
24d6cc0a0fed,MoW3Se8,0.43447673034667966,0.4703140230178833,0.40704095077514646,0.4372772347132365,0
211bcb7f05d6,GeSe,0.9155756807327271,0.7267462587356568,0.7453640079498292,0.795895315806071,0
2ea941c8bc3c,MoSTe,0.05253853797912589,0.11052045822143564,0.0009631156921385831,0.0546740372975667,0
2d41b3dd1772,BiITe,0.40187100028991685,0.5249753341674803,0.3516074762344359,0.426151270230611,0
2f6f133abcc8,MoW3S8,0.11830503082275401,0.162128273010254,0.1790030632019044,0.15314545567830415,0
304bc6a92d82,BiBrTe,0.45738136291503917,0.3419942808151246,0.5363751602172853,0.445250267982483,0
323fb700d903,WMo3Te8,0.1297373046875001,0.0354285707473756,0.08889477157592784,0.08468688233693451,0
343d2125478e,ISbSe,0.06526152610778801,0.42628927707672126,0.13982347965240471,0.21045809427897133,0
3bc08d486d65,PbTe,0.7586033868789674,0.510090641975403,0.6176838207244875,0.6287926165262859,0
18e377cce57f,Ti2Zr2Te8,0.18580160617828367,0.2844636249542236,0.16261671066284178,0.21096064726511635,0
18e62ba75259,BrSbTe,0.5969131412506106,0.8683104934692385,0.5582068386077883,0.6744768244425458,0
1a3be826b3e0,AsClSe,0.327785722732544,0.5625059528350831,0.23241090011596688,0.37423419189453133,0
1dcd471c2288,AsBrS,0.2979197826385498,0.2858972873687744,0.24609306716918944,0.2766367123921712,0
20f098bd3f31,O2Pb2,0.007876242637634201,0.5579958305358887,0.006869162559509201,0.19091374524434404,0
