uid,formula,abs_resid_seed0,abs_resid_seed1,abs_resid_seed2,abs_resid_seed3,abs_resid_seed4,abs_resid_seed5,abs_resid_seed6,abs_resid_seed7,abs_resid_seed8,abs_resid_seed9,rank_seed0,rank_seed1,rank_seed2,rank_seed3,rank_seed4,rank_seed5,rank_seed6,rank_seed7,rank_seed8,rank_seed9,mean_rank,mean_abs_resid,n_times_top10
03bcf7dcdaf2,Sn2Te2,1.3398850955963137,1.5373445549011233,1.281073431015015,1.557612279891968,1.7248781719207766,1.5917883911132815,1.5460666217803958,1.7701233425140384,1.5560685195922854,1.4853192367553714,5,4,5,4,3,3,3,2,3,4,3.6,1.539015964508057,10
287dcf4f1a19,Bi2P2S6,1.3858608188629151,1.1775700035095216,1.1613093795776368,1.3396057071685792,0.9517697277069093,1.1637100162506104,1.2427195491790772,1.3643068256378175,1.2096647205352784,1.2811943473815919,4,7,7,5,10,8,6,5,6,6,6.4,1.2277711095809936,10
3995fa1bee6e,Pb2Te6,1.1386371746063233,1.3783798112869263,1.2429066791534424,1.3015881671905518,1.2478059425354004,1.2482218637466431,1.2095429792404175,1.0636495246887208,1.1286421909332276,1.1768637790679932,7,5,6,6,5,6,7,8,8,8,6.6,1.2136238112449647,10
a84d988e38ac,BiITe,0.9774760084152221,1.0054862575531005,1.0343808012008666,1.1353519039154052,1.098439462661743,1.1677463130950927,0.951407917022705,1.0655890779495238,1.0702880697250365,1.0425598697662353,9,8,8,8,7,7,10,7,9,10,8.3,1.054872568130493,10
75ee10091f43,STeW,1.8066467971801758,2.2200926275253297,1.913665506362915,1.627330514907837,1.8197922439575196,1.9472796649932862,1.8028969497680665,1.5258869857788087,1.833106014251709,2.0035179586410523,1,1,1,3,1,1,1,4,1,1,1.5,1.8500215263366695,10
6e2a4c6f4f57,SeTeW,1.1498807010650636,1.2311785755157472,1.3467758235931397,1.2836571273803712,1.1496415672302247,1.3580627975463868,1.4837005672454835,1.3059342441558839,1.4662633476257325,1.2677708206176759,6,6,4,7,6,5,4,6,4,7,5.5,1.3042865571975708,10
aa9a981d89aa, ,1.792656404495239,1.851918918609619,1.5394947357177733,1.710256320953369,1.7395822830200194,1.8286797828674315,1.2854685611724852,1.7170529193878172,1.5879833526611327,1.5769440956115721,3,2,3,1,2,2,5,3,2,3,2.6,1.6630037374496465,10
4cb4ea247ef4,Ga2P2Te6,1.8010796813964842,1.6838266162872313,1.6159862785339354,1.7037524490356444,1.6562904624938963,1.5869852809906004,1.7001516132354735,1.778317859649658,1.4413506298065184,1.9863093404769896,2,3,2,2,4,4,2,1,5,2,2.7,1.695405021190643,10
de5756e4fbfa,BiBrSe,1.057335814476013,0.9670896139144896,0.8983274307250975,1.0994841661453245,0.9499191846847532,0.9676293935775755,1.0587219800949095,1.039906581878662,1.132134636878967,1.133466562271118,8,10,10,9,11,11,8,9,7,9,9.2,1.0304015364646908,8
1a3bdd1b142a,HgTe,0.8320877857208252,0.870035798072815,0.7774958915710449,1.0812779970169069,1.0794724531173707,0.9746446914672852,0.8359439678192139,0.8317338533401489,0.969753176689148,1.3449144668579103,13,14,16,10,8,10,14,12,10,5,11.2,0.9597360081672667,5
49b7be14f786,BiBrS,0.8967225379943848,0.9872724838256837,0.6595147676467896,0.6887962646484376,0.827534896850586,0.8025781936645509,0.8621222801208497,0.9185089893341065,0.7969951457977296,0.8411066360473634,11,9,21,19,16,17,13,10,14,15,14.5,0.8281152195930481,2
5d829e480507,AsISe,0.7037526836395265,0.7400883903503419,0.7314609756469728,0.6679655780792237,0.9706889858245851,0.927656578063965,0.974261688232422,0.868879961013794,0.87572758102417,0.864764617919922,19,18,18,22,9,12,9,11,11,12,14.1,0.8325247039794924,2
7a8373382b33,S2Sn2,0.9673785152435306,0.7549759330749515,0.9295629444122318,0.7189072551727298,0.865016597747803,0.67063369178772,0.7840582313537601,0.7461694660186771,0.8158275070190433,0.6723038139343265,10,17,9,18,14,23,17,19,13,21,16.1,0.7924833955764774,2
211bcb7f05d6,GeSe,0.7493575191497803,0.5995832061767579,0.8733622407913209,0.8517957305908204,0.8077376461029053,1.0304687595367432,0.8056752061843873,0.6069623804092408,0.694979248046875,0.5708033418655396,16,27,11,13,17,9,16,28,18,26,18.1,0.7590725278854371,1
001e03f2c095,SSeW,0.41671170043945294,0.4705430393218992,0.445755136489868,0.4297076587677,0.3644260292053221,0.40348137664794903,0.15612376976013165,0.4793149356842039,0.44946206855773907,0.3929501895904539,41,37,38,38,44,44,75,38,37,41,43.3,0.400847590446472,0
