candidate,r2,mae,delta_r2
el_Rpp_d_max,0.6402058155698742,0.42615565123220883,-0.0031769281495547252
el_Rpp_d_range,0.6323327072673983,0.4347165597231701,-0.01105003645203062
el_EA_std,0.6300210192158252,0.4316628063567961,-0.013361724503603734
el_Rpp_d_std,0.6286777539994839,0.43778024087289363,-0.01470498971994505
el_IEII_min,0.6272101328439852,0.4281033905202692,-0.01617261087544375
el_ChiP_std,0.6268232487380642,0.4258660084021212,-0.016559494981364775
el_Rvdw_max,0.6248501692000961,0.42795471499664617,-0.01853257451933288
el_MP_range,0.6243367432849306,0.42107732287320215,-0.019046000434498334
el_BP_max,0.6231982147732757,0.4169737787535696,-0.02018452894615319
el_Hv_w_mean,0.6231731902018215,0.4154537378513451,-0.020209553517607448
el_M_w_mean,0.6226585499345427,0.4238174929185347,-0.020724193784886213
el_MendeleevNo_min,0.6222806831741154,0.42651206318537394,-0.021102060545313495
el_YoungsModulus_min,0.6196183980695699,0.4270578664529203,-0.023764345649859075
el_Kappa_w_mean,0.6194618889871946,0.41196053764073537,-0.023920854732234376
el_Kappa_max,0.6186636085940811,0.423305481905889,-0.024719135125347846
el_G_w_mean,0.6184187250620395,0.4292899155375933,-0.024964018657389397
el_ChiP_range,0.6183728130180917,0.4283902850969873,-0.02500993070133728
el_Hv_max,0.6178024586759532,0.4199912056152267,-0.02558028504347576
el_Rpp_p_range,0.6175404283639536,0.4416179967697221,-0.02584231535547532
el_BP_w_mean,0.6174313921372487,0.42521734034413033,-0.025951351582180204
el_Rpp_p_max,0.6173988312516219,0.4298688446825201,-0.02598391246780707
el_G_max,0.6172249633761936,0.42545075953608813,-0.02615778034323535
el_B_range,0.616982508645072,0.43624855591070766,-0.02640023507435696
el_B_std,0.6169723141835758,0.4362878805266486,-0.026410429535853153
el_G_min,0.6167034800594073,0.4302217035100917,-0.0266792636600216
el_YoungsModulus_w_mean,0.6166504583884138,0.4312546642043373,-0.026732285331015126
el_MP_max,0.6159652872886603,0.4242117506614839,-0.02741745643076865
el_B_max,0.6159498641681316,0.43733965806768393,-0.027432879551297362
el_B_w_mean,0.6159421075367594,0.4373770602833141,-0.027440636182669564
el_AverageCationicRadius_range,0.6157115470409007,0.43728017396637886,-0.027671196678528243
el_Kappa_range,0.6146374322409641,0.4196130564236882,-0.02874531147846482
el_Rho_max,0.6145894054468268,0.4209051094777656,-0.02879333827260211
el_IEII_w_mean,0.6142203610517958,0.4450549343378857,-0.029162382667633158
el_Rc_min,0.6138160647537511,0.43975960352444887,-0.029566678965677884
el_Ra_min,0.6136160390009081,0.43920947401933,-0.02976670471852083
el_Hf_max,0.6134748273914163,0.42645000967834934,-0.029907916328012596
el_YoungsModulus_max,0.6132786279334375,0.4335954766706987,-0.03010411578599148
el_G_range,0.61241004790728,0.4357536374968712,-0.030972695812148898
el_Kbulk_max,0.6123447005140716,0.4220679884583059,-0.031038043205357302
el_Rpp_d_min,0.6122751238401896,0.4373977959661772,-0.03110761987923938
el_Z_w_mean,0.6122090499267236,0.43002702024247913,-0.031173693792705293
el_G_std,0.611786388815325,0.4346873438526886,-0.03159635490410395
el_PoissonsRatio_w_mean,0.611593404328602,0.43118350426355995,-0.031789339390826954
el_EA_range,0.6110697363130244,0.4374897757347183,-0.032313007406404526
el_Z_range,0.6106159625767367,0.44881260741840706,-0.03276678114269227
el_MV_min,0.6101577888455207,0.43009407163870456,-0.0332249548739082
el_MP_std,0.6100713811697471,0.42711108128229774,-0.03331136254968181
el_YoungsModulus_range,0.6100649157637469,0.4357643599413862,-0.033317827955682056
el_PoissonsRatio_range,0.6099087726990954,0.4302946620324646,-0.03347397102033356
el_Rpp_s_max,0.6098332399763869,0.4370483172879074,-0.033549503743042
el_Rc_w_mean,0.6098254272894887,0.43286339784391,-0.0335573164299402
el_PoissonsRatio_min,0.6097640983781418,0.42964552952063206,-0.03361864534128711
el_PoissonsRatio_std,0.6096750768234074,0.43035350024579755,-0.03370766689602156
el_Hf_range,0.6094147761885631,0.4401472815407647,-0.03396796753086584
el_Rvdw_std,0.6093834952124942,0.42670857650101784,-0.0339992485069347
el_Rvdw_min,0.6093762957814537,0.4374332768989332,-0.03400644793797525
el_Rho_w_mean,0.6091350646301652,0.4174279675772695,-0.03424767908926374
el_PoissonsRatio_max,0.6089486228484369,0.4300120330627519,-0.03443412087099207
el_EA_min,0.6086587942746495,0.4319330896705088,-0.03472394944477941
el_IEI_w_mean,0.6086488956071971,0.4520119646438445,-0.03473384811223179
el_Kbulk_w_mean,0.6085944094385047,0.4289652324156327,-0.034788334280924205
el_Energy_max,0.6085691051210985,0.43386083454074287,-0.03481363859833042
el_IEI_max,0.6081971871395733,0.43544573750158755,-0.03518555657985567
el_MP_w_mean,0.6079559352721247,0.41917250284040813,-0.03542680844730428
el_Ra_max,0.6077623884807298,0.4337796628643768,-0.03562035523869911
el_YoungsModulus_std,0.6074871042613484,0.440165516337963,-0.0358956394580805
el_M_min,0.6071672716728594,0.4407068297020112,-0.0362154720465695
el_AverageAnionicRadius_w_mean,0.6069265093950089,0.43878481409766457,-0.03645623432442002
el_AverageCationicRadius_min,0.6069151411647884,0.43919440983280994,-0.036467602554640544
el_M_max,0.6060763838049034,0.4278615446861344,-0.03730635991452558
el_Kbulk_min,0.6059351513956619,0.4387295153116939,-0.03744759232376704
el_ChiA_min,0.6058778524150565,0.4261437939971384,-0.0375048913043724
el_Energy_w_mean,0.6046242407022113,0.4364435298755916,-0.038758503017217616
el_Kbulk_std,0.6042378226581941,0.4334175699455569,-0.039144921061234794
el_Kbulk_range,0.6042321944454214,0.4271251729859246,-0.03915054927400752
el_Rpp_s_min,0.6035626405374015,0.43771321700317684,-0.039820103182027444
el_MendeleevNo_w_mean,0.6033498249327256,0.4366765846290974,-0.04003291878670334
el_Z_max,0.6033493722734977,0.4284834388626946,-0.04003337144593122
el_MV_max,0.603324818228411,0.4328922892580129,-0.04005792549101794
el_CvM_min,0.6032044441312334,0.4284831328392029,-0.04017829958819552
el_CvM_range,0.603028586846525,0.44109724092965175,-0.04035415687290389
el_CvM_std,0.6026948131837693,0.44607859081692164,-0.04068793053565967
el_M_std,0.6024566241889355,0.44530043969009864,-0.04092611953049341
el_ChiP_w_mean,0.6023110202984566,0.4304072653645217,-0.04107172342097232
el_BP_std,0.6017014581869626,0.4299012603422608,-0.041681285532466306
el_AverageCationicRadius_std,0.6016420215160099,0.4420594901942243,-0.04174072220341907
el_Hf_min,0.6012347986441811,0.4376016431191955,-0.042147945075247883
el_ChiP_min,0.6008473734132487,0.4342787348911015,-0.042535370306180265
el_Z_min,0.6008102316124673,0.4434577427488384,-0.04257251210696167
el_Energy_min,0.6007633064025866,0.4392118837664826,-0.04261943731684237
el_MendeleevNo_std,0.6006124151406178,0.4420581394783174,-0.042770328578811134
el_Ra_range,0.6005940070737396,0.44562824015665536,-0.042788736645689385
el_AverageCationicRadius_w_mean,0.6002586380729279,0.43519305822584364,-0.04312410564650104
el_MP_min,0.6001195797610759,0.4309675585380708,-0.04326316395835306
el_MendeleevNo_range,0.6000655587047294,0.4422538660511826,-0.0433171850146995
el_Ra_std,0.6000462540393232,0.45119775161357845,-0.04333648968010573
el_Rpp_p_min,0.5999833268983659,0.43651211898013803,-0.043399416821063075
el_Z_std,0.5991005036464288,0.4460137344947969,-0.04428224007300019
el_Rpp_p_std,0.5989120008608823,0.4571496365816907,-0.044470742858546686
el_Rho_std,0.598250840325707,0.4244157614178128,-0.04513190339372197
el_Rho_range,0.5982047670734312,0.42716600145956474,-0.045177976645997764
el_M_range,0.5973002311702518,0.44767245578284215,-0.04608251254917717
el_Rpp_s_range,0.5968702190088584,0.449948960337976,-0.046512524710570546
el_AverageCationicRadius_max,0.5967644357918953,0.43376949826153843,-0.04661830792753363
el_BP_range,0.5966944113588324,0.42989703016088465,-0.04668833236059655
el_BP_min,0.5964357554975712,0.4368868091130497,-0.04694698822185772
el_Rc_max,0.5962819736833673,0.43861128619704587,-0.04710077003606161
el_Kappa_std,0.5960712450656162,0.4350024889310201,-0.04731149865381279
el_Rho_min,0.5959272203924877,0.4404289332543961,-0.04745552332694125
el_MV_w_mean,0.5958033853147938,0.43246214231336966,-0.04757935840463512
el_AverageAnionicRadius_max,0.5957588455613185,0.43799136747013434,-0.04762389815811041
el_AverageAnionicRadius_range,0.5957588455613185,0.43799136747013434,-0.04762389815811041
el_Rc_range,0.5945766798574252,0.4388062409487638,-0.0488060638620037
el_Hv_range,0.5942129859310663,0.4290677215595438,-0.049169757788362634
el_CvM_max,0.5941720726306803,0.44124247878488876,-0.04921067108874866
el_Hv_min,0.5940426505191445,0.4435165223015679,-0.04934009320028443
el_Hf_std,0.5935776181114467,0.44778086178712173,-0.049805125607982226
el_Kappa_min,0.5934548476072458,0.43961141803529524,-0.04992789611218318
el_Rpp_s_w_mean,0.5934007386708067,0.44343642585446136,-0.04998200504862227
el_Rpp_d_w_mean,0.5932547349692665,0.4514231141167458,-0.050128008750162434
el_Rc_std,0.592487857216973,0.448139957288299,-0.050894886502455994
el_ChiA_range,0.5917981672172519,0.44020479337133545,-0.05158457650217707
el_Hv_std,0.5915318748292737,0.43591301578945585,-0.05185086889015522
el_Rpp_p_w_mean,0.591523379957879,0.4393461068615769,-0.05185936376154998
el_Ra_w_mean,0.5915144803397405,0.43853135304980806,-0.05186826337968842
el_MendeleevNo_max,0.5910332112113972,0.43905728265492605,-0.05234953250803176
el_Rvdw_w_mean,0.5898771148473139,0.436549792694323,-0.053505628872115074
el_ChiA_std,0.5898115229414462,0.44904919704283125,-0.05357122077798271
el_Rvdw_range,0.5891571819207786,0.4386209282489738,-0.054225561798650346
el_Rpp_s_std,0.5890654131159492,0.4548505034591212,-0.05431733060347976
el_ChiA_max,0.5885153209764209,0.4398656803044405,-0.05486742274300804
el_MV_std,0.588369037213615,0.4425549226481505,-0.05501370650581394
el_MV_range,0.5882579655204233,0.4404560836493367,-0.05512477819900563
el_IEII_max,0.5879452723317051,0.44599707451252024,-0.05543747138772381
el_CvM_w_mean,0.5851138244365264,0.43801007842054274,-0.058268919282902565
el_ChiA_w_mean,0.5850517301611113,0.44260043187574905,-0.0583310135583176
el_Energy_range,0.5849926194368773,0.44221414266451436,-0.058390124282551636
el_IEI_std,0.5838203328113407,0.4422270388699541,-0.059562410908088226
el_EA_max,0.5819562113587862,0.444386448407414,-0.06142653236064277
el_ChiP_max,0.581340408284353,0.442407192610731,-0.06204233543507598
el_Hf_w_mean,0.5805877237019406,0.4413822945247997,-0.06279502001748838
el_EA_w_mean,0.5804652067160921,0.4441012815128673,-0.0629175370033368
el_Energy_std,0.5785432118359408,0.44360992771688135,-0.06483953188348812
el_IEI_range,0.5763935327641713,0.44424391387688994,-0.06698921095525767
el_AverageAnionicRadius_std,0.5756136206434207,0.44866064236380837,-0.06776912307600824
el_IEII_range,0.5744235411409488,0.45076458341425113,-0.0689592025784801
el_IEII_std,0.5690900077243639,0.4476958705102555,-0.07429273599506503
el_IEI_min,0.5643111060199945,0.45701001854135526,-0.07907163769943448
