features,feat_list,indices,n_feat,cv5_r2
end_nearest_mass + mean_Z + start_adf_mean,"end_nearest_mass,mean_Z,start_adf_mean","(16, 38, 53)",3,0.0625411561976033
end_nearest_dist + mid_adf_max + mid_nearest_mass,"end_nearest_dist,mid_adf_max,mid_nearest_mass","(15, 39, 47)",3,0.06250425144908463
end_nearest_dist + mid_adf_max + mid_nearest_Z,"end_nearest_dist,mid_adf_max,mid_nearest_Z","(15, 39, 44)",3,0.06250425144908463
end_nearest_dist + mid_adf_max + mid_nearest_Z4,"end_nearest_dist,mid_adf_max,mid_nearest_Z4","(15, 39, 45)",3,0.06250425144908463
kend_frac_z + mid_adf_max + start_adf_std,"kend_frac_z,mid_adf_max,start_adf_std","(20, 39, 56)",3,0.06248037629704959
end_nearest_mass + n_elements + start_adf_std,"end_nearest_mass,n_elements,start_adf_std","(16, 49, 56)",3,0.06245866588999238
end_nearest_Z + n_elements + start_adf_std,"end_nearest_Z,n_elements,start_adf_std","(13, 49, 56)",3,0.06245866588999238
end_nearest_Z4 + n_elements + start_adf_std,"end_nearest_Z4,n_elements,start_adf_std","(14, 49, 56)",3,0.06245866588999238
band_binary + kvec_z + start_adf_mean,"band_binary,kvec_z,start_adf_mean","(5, 34, 53)",3,0.06245721073429091
E_pfrac_VBM + X_mean + kstart_frac_x,"E_pfrac_VBM,X_mean,kstart_frac_x","(1, 4, 29)",3,0.06242938038139338
E_pfrac_CBM + kstart_degeneracy + start_adf_mean,"E_pfrac_CBM,kstart_degeneracy,start_adf_mean","(0, 28, 53)",3,0.06229210634666675
kstart_frac_y + kstart_frac_z + start_adf_mean,"kstart_frac_y,kstart_frac_z,start_adf_mean","(30, 31, 53)",3,0.06221464505086984
E_pfrac_CBM + kstart_frac_y + start_adf_max,"E_pfrac_CBM,kstart_frac_y,start_adf_max","(0, 30, 52)",3,0.06221294997121689
kstart_frac_y + mid_nearest_dist + start_adf_mean,"kstart_frac_y,mid_nearest_dist,start_adf_mean","(30, 46, 53)",3,0.062199895925313206
end_adf_max + end_adf_std + max_Z4,"end_adf_max,end_adf_std,max_Z4","(8, 12, 36)",3,0.062169118582161606
end_adf_max + end_adf_std + max_Z,"end_adf_max,end_adf_std,max_Z","(8, 12, 35)",3,0.062169118582161606
end_adf_max + kmid_frac_y + kpath_angle_deg,"end_adf_max,kmid_frac_y,kpath_angle_deg","(8, 22, 24)",3,0.06212296530703687
end_nearest_Z + kend_frac_y + mid_adf_mean,"end_nearest_Z,kend_frac_y,mid_adf_mean","(13, 19, 40)",3,0.06212114748444915
end_nearest_Z4 + kend_frac_y + mid_adf_mean,"end_nearest_Z4,kend_frac_y,mid_adf_mean","(14, 19, 40)",3,0.06212114748444915
end_nearest_mass + kend_frac_y + mid_adf_mean,"end_nearest_mass,kend_frac_y,mid_adf_mean","(16, 19, 40)",3,0.06212114748444915
end_adf_mean + kmid_frac_z + mid_nearest_Z,"end_adf_mean,kmid_frac_z,mid_nearest_Z","(9, 23, 44)",3,0.062112186823975415
end_adf_mean + kmid_frac_z + mid_nearest_Z4,"end_adf_mean,kmid_frac_z,mid_nearest_Z4","(9, 23, 45)",3,0.062112186823975415
end_adf_mean + kmid_frac_z + mid_nearest_mass,"end_adf_mean,kmid_frac_z,mid_nearest_mass","(9, 23, 47)",3,0.062112186823975415
kpath_total_weight + mid_adf_max + radius_diff,"kpath_total_weight,mid_adf_max,radius_diff","(27, 39, 50)",3,0.06211055457100736
kstart_frac_y + n_elements + start_adf_max,"kstart_frac_y,n_elements,start_adf_max","(30, 49, 52)",3,0.06209529888355814
max_Z4 + start_adf_mean + sum_Z4,"max_Z4,start_adf_mean,sum_Z4","(36, 53, 61)",3,0.06209418391401707
max_Z + start_adf_mean + sum_Z4,"max_Z,start_adf_mean,sum_Z4","(35, 53, 61)",3,0.06209418391401707
kend_degeneracy + kstart_frac_x + start_adf_max,"kend_degeneracy,kstart_frac_x,start_adf_max","(17, 29, 52)",3,0.06207552644689725
E_pfrac_CBM + band_binary + mid_nearest_Z,"E_pfrac_CBM,band_binary,mid_nearest_Z","(0, 5, 44)",3,0.06204280059874538
E_pfrac_CBM + band_binary + mid_nearest_Z4,"E_pfrac_CBM,band_binary,mid_nearest_Z4","(0, 5, 45)",3,0.06204280059874538
E_pfrac_CBM + band_binary + mid_nearest_mass,"E_pfrac_CBM,band_binary,mid_nearest_mass","(0, 5, 47)",3,0.06204280059874538
band_binary + kmid_frac_y + kpath_total_weight,"band_binary,kmid_frac_y,kpath_total_weight","(5, 22, 27)",3,0.06202463048652977
X_diff + kvec_z + start_adf_mean,"X_diff,kvec_z,start_adf_mean","(3, 34, 53)",3,0.06202434304709339
end_nearest_Z4 + start_adf_mean + start_nearest_Z4,"end_nearest_Z4,start_adf_mean,start_nearest_Z4","(14, 53, 58)",3,0.06195190610107966
end_nearest_mass + start_adf_mean + start_nearest_Z4,"end_nearest_mass,start_adf_mean,start_nearest_Z4","(16, 53, 58)",3,0.06195190610107966
end_nearest_mass + start_adf_mean + start_nearest_mass,"end_nearest_mass,start_adf_mean,start_nearest_mass","(16, 53, 60)",3,0.06195190610107966
end_nearest_Z4 + start_adf_mean + start_nearest_Z,"end_nearest_Z4,start_adf_mean,start_nearest_Z","(14, 53, 57)",3,0.06195190610107966
end_nearest_Z4 + start_adf_mean + start_nearest_mass,"end_nearest_Z4,start_adf_mean,start_nearest_mass","(14, 53, 60)",3,0.06195190610107966
end_nearest_mass + start_adf_mean + start_nearest_Z,"end_nearest_mass,start_adf_mean,start_nearest_Z","(16, 53, 57)",3,0.06195190610107966
end_nearest_Z + start_adf_mean + start_nearest_mass,"end_nearest_Z,start_adf_mean,start_nearest_mass","(13, 53, 60)",3,0.06195190610107966
end_nearest_Z + start_adf_mean + start_nearest_Z4,"end_nearest_Z,start_adf_mean,start_nearest_Z4","(13, 53, 58)",3,0.06195190610107966
end_nearest_Z + start_adf_mean + start_nearest_Z,"end_nearest_Z,start_adf_mean,start_nearest_Z","(13, 53, 57)",3,0.06195190610107966
end_adf_mean + end_nearest_Z + end_nearest_Z4,"end_adf_mean,end_nearest_Z,end_nearest_Z4","(9, 13, 14)",3,0.061950359549174897
end_adf_mean + end_nearest_Z4 + end_nearest_mass,"end_adf_mean,end_nearest_Z4,end_nearest_mass","(9, 14, 16)",3,0.061950359549174897
end_adf_mean + end_nearest_Z + end_nearest_mass,"end_adf_mean,end_nearest_Z,end_nearest_mass","(9, 13, 16)",3,0.061950359549174897
E_pfrac_VBM + X_mean + kmid_frac_y,"E_pfrac_VBM,X_mean,kmid_frac_y","(1, 4, 22)",3,0.06193484081964631
band_binary + end_adf_max + kstart_frac_x,"band_binary,end_adf_max,kstart_frac_x","(5, 8, 29)",3,0.06189245375895558
kend_frac_x + kstart_frac_y + mid_adf_max,"kend_frac_x,kstart_frac_y,mid_adf_max","(18, 30, 39)",3,0.06187440064284473
kend_frac_x + mid_adf_max + n_elements,"kend_frac_x,mid_adf_max,n_elements","(18, 39, 49)",3,0.06186378623824731
