Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
ISbSe,df0019ec24b5,M->K,-1.3390300966537332,0.8444249438246081,0.8702194028528185,1.3333333333333333,0.2072723374753904,0.5,0.1742269896355249,2.431
ISbSe,df0019ec24b5,G->M,-1.3390300966537332,0.8702194028528185,0.8702194028528185,1.3333333333333333,0.2072723374753904,0.0,0.1742269896355249,1.589
ISbSe,df0019ec24b5,G->K,-1.3390300966537332,0.8702194028528185,0.8702194028528185,1.3333333333333333,0.2072723374753904,0.0,0.1742269896355249,1.616
BrSbTe,f1e78a09001d,M->K,-1.7697417410307712,0.882771812071691,0.9164275283284804,1.3333333333333333,0.1441154363023931,0.5,0.394975932164701,1.315
BrSbTe,18e62ba75259,G->M,-1.4099344084064436,0.83517716605127,0.8451200771706139,1.3333333333333333,0.1679147987913823,0.0,0.1946983915644024,2.631
BrSbTe,18e62ba75259,G->K,-1.4099344084064436,0.83517716605127,0.8451200771706139,1.3333333333333333,0.1679147987913823,0.0,0.1946983915644024,2.454
ClSbSe,f705a30af945,M->K,-1.870737190635677,0.8438826392372596,0.9143032462366278,1.2,0.1810879287775363,0.5,0.4404205423309886,1.483
SSeW,001e03f2c095,G->M,-1.5807777534717378,0.1944202818853834,0.1944202818853834,1.1666666666666667,0.2759497009136277,0.0,0.3729423454452537,3.284
SSeW,001e03f2c095,G->K,-1.5807777534717378,0.1944202818853834,0.1944202818853834,1.1666666666666667,0.2759497009136277,0.0,0.3729423454452537,3.288
BiBrTe,f4f45fcade85,M->K,-1.7534460616403398,0.9275593381609089,0.9381112972308486,1.3833333333333335,0.1261244151549382,0.5,0.3890483201319814,0.498
STeW,75ee10091f43,M->G,-1.678734213870113,0.1498061527142361,0.1498061527142361,1.25,0.2813802850687197,0.5,0.3898417357941154,2.27
STeW,75ee10091f43,G->K,-1.678734213870113,0.1498061527142361,0.1498061527142361,1.25,0.2813802850687197,0.0,0.3898417357941154,3.947
MoSTe,2ea941c8bc3c,M->K,-1.4219252422262485,0.2434765337283689,0.2434765337283689,1.2833333333333334,0.3399033820915767,0.5,0.2513728401761673,2.358
MoSTe,2ea941c8bc3c,G->K,-1.4219252422262485,0.2434765337283689,0.2434765337283689,1.2833333333333334,0.3399033820915767,0.0,0.2513728401761673,2.525
ISbTe,0f02957b17cf,G->M,-1.2342344760598332,0.848391125348033,0.8724804784156919,1.4166666666666667,0.1500200241367949,0.0,0.1059895356969052,3.658
