features,indices,n_feat,cv5_r2
pmid_plane_mean_Z,"(92,)",1,-0.43048352519256283
pmid_afs_trig_max,"(76,)",1,-0.43250659460634705
radius_mean,"(121,)",1,-0.43453660866123334
pmid_afs_bessel_max,"(70,)",1,-0.4356064833032637
pend_plane_mean_mass,"(51,)",1,-0.43694425522631286
pstart_grdf_bessel_max,"(104,)",1,-0.44285852541904946
pend_plane_mean_Z,"(50,)",1,-0.44711000332114015
pend_grdf_gauss_mean,"(41,)",1,-0.45585086914956535
pmid_grdf_bessel_max,"(79,)",1,-0.4594177225436839
ehull,"(7,)",1,-0.47883754995044236
pstart_afs_bessel_max,"(95,)",1,-0.49722510894732286
kvec_y,"(21,)",1,-0.5129181715494747
pmid_grdf_bessel_mean,"(80,)",1,-0.58186807868469
pstart_afs_trig_mean,"(102,)",1,-0.5942276685024133
pend_grdf_bessel_mean,"(38,)",1,-0.5948806584270214
