Formula,uid,kpath,E_pfrac_relevant,ehull,pmid_afs_gauss_std,kpath_angle_deg,kstart_frac_y,band_binary,Rashba_parameter
Cr2W2Te8,62bb754c4cb2,G->S,0.2157043936857912,0.082,1.370593975713853,49.07266394958416,0.0,0,0.686
Mo2W2Se8,a1d716aad84d,X->G,0.2050796246622059,0.0,2.3531099345395177,180.0,0.0,0,1.784
BiITe,2d41b3dd1772,G->M,0.919259222337323,0.0,0.0008840256407309,29.99999996531762,0.0,1,2.065
BiITe,2d41b3dd1772,M->K,0.919259222337323,0.0,0.0008840256407309,119.99999995987363,0.0,1,1.391
BiITe,2d41b3dd1772,G->K,0.919259222337323,0.0,0.0008840256407309,60.000000002722,0.0,1,2.086
ZrTi3Se8,52a5e2b280d4,S->Y,0.7405566209593908,0.131,1.604193444789698,180.0,0.5,0,1.091
ZrTi3Se8,52a5e2b280d4,S->G,0.7405566209593908,0.131,1.604193444789698,-130.8472969878528,0.5,0,0.48
BiBrSe,11db0908d9ef,M->G,0.9316661883508596,0.111,0.0090682747190613,-150.0000000375113,0.0,1,0.393
P2Sb2Te6,82b85dfd7723,Y->G,0.8244461820584097,0.14,0.6539552019665499,-120.08754198205264,0.5,0,2.466
P2Sb2Te6,82b85dfd7723,X->G,0.8244461820584097,0.14,0.6539552019665499,150.08738780717383,-0.3327478297774164,0,2.596
P2Sb2Te6,82b85dfd7723,Y->G,0.8318788232153959,0.14,0.6539552019665499,-120.08754198205264,0.5,1,1.057
P2Sb2Te6,82b85dfd7723,X->G,0.8318788232153959,0.14,0.6539552019665499,150.08738780717383,-0.3327478297774164,1,0.92
WCr3S8,dc4259e69783,X->G,0.134076482189789,0.009,3.833981866419253,180.0,0.0,0,1.317
Cr2Mo2Te8,988b11badabb,X->G,0.2124826412893839,0.067,1.708587639699576,180.0,0.0,0,1.105
Cr2Mo2Te8,988b11badabb,Y->S,0.2124826412893839,0.067,1.3836939018273082,0.0,0.5,0,0.842
Cr2Mo2Te8,988b11badabb,G->S,0.2124826412893839,0.067,1.3836939018273082,49.078432863752205,0.0,0,0.735
ISbSe,343d2125478e,G->M,0.9133427007098202,0.13,0.0069196776377032,30.000000008527763,0.0,1,1.17
ISbSe,343d2125478e,G->K,0.9133427007098202,0.13,0.0069196776377032,60.00000000852776,0.0,1,0.954
Bi2P2Te6,cf7927ab6730,G->Y,0.8422307722599669,0.14,0.5918194214520243,90.00000000000001,0.0,1,1.814
Bi2P2Te6,cf7927ab6730,Y->G,0.8422307722599669,0.14,0.5918194214520243,-90.0,0.5,1,1.725
Bi2P2Te6,cf7927ab6730,X->G,0.8422307722599669,0.14,0.5918194214520243,-150.058674084781,0.0,1,1.692
Bi2P2Te6,cf7927ab6730,G->X,0.8422307722599669,0.14,0.5918194214520243,29.94132591521901,0.0,1,1.809
HgTe,1a3bdd1b142a,G->M,0.8163718961430929,0.165,0.0,29.99999999172793,0.0,0,0.501
HgTe,1a3bdd1b142a,G->K,0.8163718961430929,0.165,0.0,59.99999999172792,0.0,0,0.618
BiBrTe,304bc6a92d82,M->K,0.8941369584845804,0.0,0.0005583941977259,120.00000003531756,0.0,0,1.13
BiBrTe,304bc6a92d82,M->K,0.9109066585302884,0.0,0.0005583941977259,120.00000003531756,0.0,1,1.08
MoW3S8,2f6f133abcc8,X->G,0.2120919784501239,0.0,3.136699555755772,180.0,0.0,0,2.241
MoW3S8,2f6f133abcc8,S->Y,0.2250064564826057,0.0,2.5453998862427283,180.0,0.5,1,1.202
BiClSe,7fe9c5cb910c,M->K,0.9114345157094904,0.119,0.011333953476045,119.99999999593344,0.0,0,0.679
BiClSe,7fe9c5cb910c,M->G,0.93294310439798,0.119,0.011333953476045,-149.99999999593345,0.0,1,0.746
WMo3Te8,323fb700d903,X->G,0.3014358700618786,0.005,1.3671358938247664,180.0,0.0,0,1.501
WMo3Te8,323fb700d903,G->S,0.3014358700618786,0.005,1.1192867138340774,49.11423724864225,0.0,0,1.292
