features,feat_list,indices,n_feat,cv5_r2
ehull + start_adf_n_triplets,"ehull,start_adf_n_triplets","(7, 55)",2,-0.6593553152275924
kvec_y + start_adf_n_triplets,"kvec_y,start_adf_n_triplets","(33, 55)",2,-0.6874374739154183
kvec_y + mid_adf_n_triplets,"kvec_y,mid_adf_n_triplets","(33, 42)",2,-0.6874374739154183
end_nearest_dist + mid_adf_n_triplets,"end_nearest_dist,mid_adf_n_triplets","(15, 42)",2,-0.7011579286608809
end_nearest_dist + start_adf_n_triplets,"end_nearest_dist,start_adf_n_triplets","(15, 55)",2,-0.7011579286608809
X_diff + mid_adf_n_triplets,"X_diff,mid_adf_n_triplets","(3, 42)",2,-0.7437581064940215
X_diff + start_adf_n_triplets,"X_diff,start_adf_n_triplets","(3, 55)",2,-0.7437581064940215
X_diff + end_adf_n_triplets,"X_diff,end_adf_n_triplets","(3, 11)",2,-0.7437581064940215
X_mean + start_adf_n_triplets,"X_mean,start_adf_n_triplets","(4, 55)",2,-0.7777219115060433
X_mean + mid_adf_n_triplets,"X_mean,mid_adf_n_triplets","(4, 42)",2,-0.7777219115060433
X_mean + end_adf_n_triplets,"X_mean,end_adf_n_triplets","(4, 11)",2,-0.7777219115060433
bandgap + end_adf_n_triplets,"bandgap,end_adf_n_triplets","(6, 11)",2,-0.8087306346569567
bandgap + mid_adf_n_triplets,"bandgap,mid_adf_n_triplets","(6, 42)",2,-0.8087306346569567
bandgap + start_adf_n_triplets,"bandgap,start_adf_n_triplets","(6, 55)",2,-0.8087306346569567
