uid,bwdf_chi_total,bwdf_chi_mean_r,bwdf_chi_std_r,bwdf_chi_skew,bwdf_chi_kurt,bwdf_chi_max_val,bwdf_chi_max_r,bwdf_chi_first_peak_r,bwdf_z_total,bwdf_z_mean_r,bwdf_z_std_r,bwdf_z_skew,bwdf_z_kurt,bwdf_z_max_val,bwdf_z_max_r,bwdf_z_first_peak_r,asi_chi_mean,asi_chi_std,asi_chi_max,asi_chi_z_mean,asi_chi_z_abs_mean,asi_chi_z_max,asi_z_mean,asi_z_std,asi_z_max,asi_z_z_mean,asi_z_z_abs_mean,asi_z_z_max
001e03f2c095,1.3385386517848104,3.3733355764977304,0.8471542091353674,-0.061597854231649096,-1.799284543419629,2.3146985795466706,4.090909090909091,2.5,23397.855610173247,3.371540970613511,0.6551997325223641,0.23612363999988356,-0.878434085100857,41524.24662107538,3.272727272727273,2.5,0.3783782460084524,0.25439867247431885,0.5763918816403063,0.01870632171076858,0.3783782460084524,0.5763918816403063,0.3435052088282145,0.18708433257823665,0.517968579386505,-0.05781771623493972,0.3435052088282145,0.517968579386505
03bcf7dcdaf2,0.7018559168966801,3.1738080502007353,0.18294163915202594,-0.27212716074298443,-0.5028910251028269,1.4186484975551996,3.2272727272727275,3.2272727272727275,33905.629545367774,3.9666219788111574,0.6526061978018584,-0.43222708688456696,-1.5246836977219467,60896.54027369994,4.545454545454546,3.2272727272727275,0.2016286294423698,0.0583870306590967,0.2600303585630557,1.3877787807814457e-17,0.19978444258542769,0.25872802435088377,0.2824191437779547,0.03317786305729456,0.315602897921944,1.63280562806567e-07,0.2822381175464999,0.31545242781347355
04fdd7d1ec5c,2.2760184733649482,3.127399969499872,0.30442496539944536,1.0614064252253284,-0.3284354118797346,6.887273234814871,2.9545454545454546,2.9545454545454546,14148.913958982128,3.650131162797782,0.532954608740774,-0.45017322877688193,-1.6211642796287509,32971.484506423374,4.090909090909091,3.0,0.7381228204485293,0.1629249069573873,0.9523515555762361,-0.2684773978034982,0.7381228204485293,0.9523515555762361,0.27693407182786506,0.1454095502349189,0.4735844426269741,0.12314113975014619,0.27693407182786506,0.4735844426269741
05a06afa3b20,8.783225474307008,3.3594036152827935,0.7973078736217664,0.010496712959161892,-1.866574506439793,16.310373265086884,4.181818181818182,2.5454545454545454,85687.23830737353,3.5664261907268395,0.7644416530830181,0.08287321702810761,-1.2140931259347547,122849.33983431001,3.3181818181818183,2.5454545454545454,0.3623691992943505,0.24241560893866257,0.5631593842953836,7.724703255320339e-06,0.352623517599501,0.5552847530266143,0.31135145497190764,0.20437923454495052,0.45967317593592744,-6.178578793684478e-07,0.30302463493569276,0.4584498201028906
0b7696e1f4c9,10.88879322499705,3.324683568498078,0.7580395145245168,0.021671534611529285,-1.6924776984294987,16.602655524679392,4.181818181818182,2.5,102259.67171014093,3.5047195961227335,0.7382031699626246,0.12508069438861996,-1.1534492811827186,138919.48184493266,3.3181818181818183,2.5454545454545454,0.421781406503146,0.24026514403732238,0.639696048041212,-3.020384685829362e-05,0.35706308142976995,0.5767962952182633,0.3183771771606196,0.2036458963441739,0.4862036515250157,7.435799122046394e-06,0.3060598385884649,0.48306264330576143
0c0fbdaf8f4a,5.262199595199072,3.8015725688827877,0.934194881359983,0.11066705413198907,-1.747768700429812,9.37083796423419,4.954545454545455,2.8636363636363638,14132.752777701739,3.895206490962595,0.7515199254676831,-0.26064150039280104,-1.050960817618722,27128.973688867885,4.045454545454545,2.8181818181818183,0.43439002770170765,0.17744137022861775,0.5792184619790496,-0.07475741681330816,0.43439002770170765,0.5792184619790496,0.2738219673750452,0.15465395172302304,0.44116286330532045,0.06574681759841812,0.2738219673750452,0.44116286330532045
0f02957b17cf,1.8348518887084495,3.7814215160759472,0.6397876275654014,0.14460907780943236,-1.8603443197814442,3.6640627010118694,3.2272727272727275,3.2272727272727275,24402.02621257191,3.9446878696753016,0.5994955002413106,-0.7009117788493522,-1.3019464854591016,54234.00138425828,4.318181818181818,3.0454545454545454,0.6919326395155613,0.11110693026200494,0.8073301172849893,-0.20753915303958226,0.6919326395155613,0.8073301172849893,0.24349896550661487,0.15680408366557577,0.360635431611224,-0.0030753444324655246,0.24349896550661487,0.360635431611224
114b3382699c,1.2352914732380278,3.407750380685847,0.5630799738563542,1.4578284223429656,1.3772579045796567,2.853971690137725,3.1363636363636362,3.1363636363636362,18931.496642464426,3.7947362816440715,0.5967446285173984,-0.028808033347610423,-0.4347779634097595,41366.251789881404,3.9545454545454546,2.8636363636363638,0.6393504049514803,0.17416673620510156,0.7699954605861632,-0.12602009789403815,0.6393504049514803,0.7699954605861632,0.19015930893178834,0.09423442148148636,0.2590312822799272,0.01747178741183684,0.19015930893178834,0.2590312822799272
11db0908d9ef,2.9148194020963443,3.408120146732932,0.7258986082204226,1.4343716065486163,0.4566041677605259,5.723001665450223,3.1363636363636362,3.1363636363636362,25805.6233557761,3.7982679309016327,0.6316286747087906,-0.08196838163264786,-0.8440113709359021,55100.02057789746,4.090909090909091,2.909090909090909,0.4287371538183167,0.26557966724319737,0.7013211150633442,0.0388102562239128,0.4287371538183167,0.7013211150633442,0.26150971705818704,0.1654417131911191,0.4012497901198307,0.025406905486827207,0.26150971705818704,0.4012497901198307
159f028a85d0,5.2338397871292,3.563172018593746,0.7668988403722665,0.03483602365755801,-1.5364961432076092,6.996595094675787,4.454545454545455,2.6818181818181817,100197.90130138346,3.6499394398153044,0.6916881950326583,0.16994012500686617,-0.9611451202576697,158071.0203573182,3.5454545454545454,2.7272727272727275,0.46652379928154947,0.24635776428323614,0.7064922755388325,5.7001882288039894e-05,0.3618470463561927,0.5967440185507504,0.2328870643452133,0.1584187986869618,0.3557360581516529,-2.4359428223245474e-06,0.22578403789221438,0.34837142894582496
